rider,finished,year
Tiralongo Paolo,0.8181818181818182,2017
Pellizotti Franco,0.8181818181818182,2017
Pozzovivo Domenico,0.5454545454545454,2017
Dupont Hubert,0.8181818181818182,2017
Bak Lars Ytting,0.5454545454545454,2017
Hansen Adam,0.5454545454545454,2017
Visconti Giovanni,0.6363636363636364,2017
Capecchi Eros,0.5454545454545454,2017
Cataldo Dario,0.5454545454545454,2017
Siutsou Kanstantsin,0.45454545454545453,2017
Agnoli Valerio,0.5454545454545454,2017
Pirazzi Stefano,0.6363636363636364,2017
Brutt Pavel,0.5454545454545454,2017
Montaguti Matteo,0.5454545454545454,2017
Stamsnijder Tom,0.45454545454545453,2017
Kozontchuk Dmitry,0.36363636363636365,2017
Modolo Sacha,0.36363636363636365,2017
Pozzato Filippo,0.36363636363636365,2017
Nibali Vincenzo,0.5454545454545454,2017
Kruijswijk Steven,0.45454545454545453,2017
Ferrari Roberto,0.5454545454545454,2017
Gasparotto Enrico,0.45454545454545453,2017
Zeits Andrey,0.5454545454545454,2017
Vicioso Ángel,0.36363636363636365,2017
Bennati Daniele,0.09090909090909091,2017
Belkov Maxim,0.36363636363636365,2017
Losada Alberto,0.45454545454545453,2017
Bérard Julien,0.36363636363636365,2017
Antón Igor,0.45454545454545453,2017
Battaglin Enrico,0.2727272727272727,2017
Deignan Philip,0.36363636363636365,2017
Kiryienka Vasil,0.45454545454545453,2017
Nizzolo Giacomo,0.45454545454545453,2017
Amador Andrey,0.45454545454545453,2017
Tuft Svein,0.45454545454545453,2017
Ventoso Francisco José,0.2727272727272727,2017
Keizer Martijn,0.45454545454545453,2017
Samoilau Branislau,0.45454545454545453,2017
Rovny Ivan,0.36363636363636365,2017
Clement Stef,0.36363636363636365,2017
van Emden Jos,0.45454545454545453,2017
Morabito Steve,0.36363636363636365,2017
Monfort Maxime,0.36363636363636365,2017
Boaro Manuele,0.36363636363636365,2017
Mezgec Luka,0.2727272727272727,2017
Richeze Maximiliano,0.2727272727272727,2017
Ludvigsson Tobias,0.2727272727272727,2017
Quinziato Manuel,0.36363636363636365,2017
Kangert Tanel,0.36363636363636365,2017
Herrada José,0.36363636363636365,2017
Boem Nicola,0.36363636363636365,2017
Kišerlovski Robert,0.36363636363636365,2017
Greipel André,0.09090909090909091,2017
Sutherland Rory,0.2727272727272727,2017
Ruffoni Nicola,0.0,2017
Van den Broeck Jurgen,0.2727272727272727,2017
Puccio Salvatore,0.2727272727272727,2017
Didier Laurent,0.2727272727272727,2017
Stetina Peter,0.2727272727272727,2017
Geniez Alexandre,0.18181818181818182,2017
Keisse Iljo,0.2727272727272727,2017
Bonnet William,0.09090909090909091,2017
Alafaci Eugenio,0.2727272727272727,2017
Hepburn Michael,0.2727272727272727,2017
Gastauer Ben,0.2727272727272727,2017
Landa Mikel,0.18181818181818182,2017
Henao Sebastián,0.2727272727272727,2017
Serry Pieter,0.18181818181818182,2017
Slagter Tom-Jelte,0.18181818181818182,2017
Gołaś Michał,0.18181818181818182,2017
Rosa Diego,0.18181818181818182,2017
Lagutin Sergey,0.2727272727272727,2017
De Clercq Bart,0.18181818181818182,2017
Barbin Enrico,0.09090909090909091,2017
Formolo Davide,0.18181818181818182,2017
Geschke Simon,0.18181818181818182,2017
Vaugrenard Benoît,0.18181818181818182,2017
Rojas José Joaquín,0.09090909090909091,2017
Juul-Jensen Christopher,0.18181818181818182,2017
Zakarin Ilnur,0.09090909090909091,2017
Tankink Bram,0.18181818181818182,2017
Preidler Georg,0.18181818181818182,2017
Hofland Moreno,0.09090909090909091,2017
Polanc Jan,0.18181818181818182,2017
Zhupa Eugert,0.18181818181818182,2017
Devenyns Dries,0.18181818181818182,2017
Haas Nathan,0.09090909090909091,2017
Kochetkov Pavel,0.18181818181818182,2017
Hermans Ben,0.18181818181818182,2017
Villella Davide,0.09090909090909091,2017
Thomas Geraint,0.18181818181818182,2017
Kelderman Wilco,0.18181818181818182,2017
Busato Matteo,0.18181818181818182,2017
Dillier Silvan,0.09090909090909091,2017
Pelucchi Matteo,0.0,2017
Ponzi Simone,0.18181818181818182,2017
Haga Chad,0.18181818181818182,2017
Hernández Blázquez Jesús,0.18181818181818182,2017
Conti Valerio,0.09090909090909091,2017
Mohorič Matej,0.09090909090909091,2017
Amezqueta Julen,0.09090909090909091,2017
Martínez Daniel Felipe,0.09090909090909091,2017
Chevrier Clément,0.09090909090909091,2017
Jungels Bob,0.09090909090909091,2017
Fraile Omar,0.0,2017
Rosskopf Joey,0.09090909090909091,2017
Castelijns Twan,0.09090909090909091,2017
Benedetti Cesare,0.09090909090909091,2017
Elissonde Kenny,0.09090909090909091,2017
Paterski Maciej,0.09090909090909091,2017
Tsatevich Alexey,0.0,2017
De Bie Sean,0.09090909090909091,2017
Marczyński Tomasz,0.0,2017
Anacona Winner,0.09090909090909091,2017
Mareczko Jakub,0.0,2017
Verona Carlos,0.09090909090909091,2017
Sánchez Luis León,0.09090909090909091,2017
Andreetta Simone,0.09090909090909091,2017
Maestri Mirco,0.09090909090909091,2017
Kuznetsov Viacheslav,0.09090909090909091,2017
Bárta Jan,0.09090909090909091,2017
Dombrowski Joe,0.09090909090909091,2017
Owsian Łukasz,0.09090909090909091,2017
Dumoulin Tom,0.0,2017
Roy Jérémy,0.09090909090909091,2017
Foliforov Alexander,0.09090909090909091,2017
Savitskiy Ivan,0.09090909090909091,2017
Marcato Marco,0.09090909090909091,2017
Koshevoy Ilia,0.09090909090909091,2017
Izagirre Gorka,0.09090909090909091,2017
Moreno Javier,0.0,2017
van Zyl Johann,0.09090909090909091,2017
Ciccone Giulio,0.0,2017
Rolland Pierre,0.09090909090909091,2017
Reichenbach Sébastien,0.0,2017
Mollema Bauke,0.09090909090909091,2017
Petilli Simone,0.09090909090909091,2017
Quintana Nairo,0.09090909090909091,2017
Rodríguez Cristián,0.09090909090909091,2017
Ewan Caleb,0.0,2017
Plaza Rubén,0.09090909090909091,2017
Sbaragli Kristian,0.09090909090909091,2017
Senni Manuel,0.09090909090909091,2017
Firsanov Sergey,0.09090909090909091,2017
ten Dam Laurens,0.09090909090909091,2017
Pozzovivo Domenico,0.6363636363636364,2018
Dupont Hubert,0.9090909090909091,2018
Hansen Adam,0.6363636363636364,2018
Bak Lars Ytting,0.6363636363636364,2018
Capecchi Eros,0.6363636363636364,2018
Visconti Giovanni,0.6363636363636364,2018
Sabatini Fabio,0.45454545454545453,2018
Siutsou Kanstantsin,0.5454545454545454,2018
Mori Manuele,0.6363636363636364,2018
Zeits Andrey,0.6363636363636364,2018
Belletti Manuel,0.09090909090909091,2018
Modolo Sacha,0.36363636363636365,2018
Montaguti Matteo,0.6363636363636364,2018
Belkov Maxim,0.45454545454545453,2018
van Emden Jos,0.5454545454545454,2018
Morabito Steve,0.45454545454545453,2018
Tuft Svein,0.5454545454545454,2018
Kiryienka Vasil,0.5454545454545454,2018
Battaglin Enrico,0.36363636363636365,2018
Antón Igor,0.5454545454545454,2018
Ventoso Francisco José,0.36363636363636365,2018
Ulissi Diego,0.36363636363636365,2018
Brambilla Gianluca,0.45454545454545453,2018
Boaro Manuele,0.45454545454545453,2018
Kangert Tanel,0.36363636363636365,2018
Betancur Carlos,0.2727272727272727,2018
Geniez Alexandre,0.18181818181818182,2018
Knees Christian,0.36363636363636365,2018
Didier Laurent,0.2727272727272727,2018
Nieve Mikel,0.36363636363636365,2018
Puccio Salvatore,0.36363636363636365,2018
Bonnet William,0.09090909090909091,2018
Viviani Elia,0.2727272727272727,2018
Frapporti Marco,0.36363636363636365,2018
Juul-Jensen Christopher,0.2727272727272727,2018
Barbin Enrico,0.18181818181818182,2018
Villella Davide,0.18181818181818182,2018
Roche Nicolas,0.2727272727272727,2018
van Poppel Boy,0.18181818181818182,2018
Polanc Jan,0.2727272727272727,2018
