rider,finished,year,race
Tiralongo Paolo,0.8181818181818182,2017,giro-d-italia
Pellizotti Franco,0.8181818181818182,2017,giro-d-italia
Pozzovivo Domenico,0.5454545454545454,2017,giro-d-italia
Dupont Hubert,0.8181818181818182,2017,giro-d-italia
Hansen Adam,0.5454545454545454,2017,giro-d-italia
Visconti Giovanni,0.6363636363636364,2017,giro-d-italia
Capecchi Eros,0.5454545454545454,2017,giro-d-italia
Cataldo Dario,0.5454545454545454,2017,giro-d-italia
Bak Lars Ytting,0.5454545454545454,2017,giro-d-italia
Siutsou Kanstantsin,0.45454545454545453,2017,giro-d-italia
Agnoli Valerio,0.5454545454545454,2017,giro-d-italia
Pirazzi Stefano,0.6363636363636364,2017,giro-d-italia
Brutt Pavel,0.5454545454545454,2017,giro-d-italia
Ferrari Roberto,0.5454545454545454,2017,giro-d-italia
Gasparotto Enrico,0.45454545454545453,2017,giro-d-italia
Zeits Andrey,0.5454545454545454,2017,giro-d-italia
Vicioso Ángel,0.36363636363636365,2017,giro-d-italia
Montaguti Matteo,0.5454545454545454,2017,giro-d-italia
Stamsnijder Tom,0.45454545454545453,2017,giro-d-italia
Kozontchuk Dmitry,0.36363636363636365,2017,giro-d-italia
Modolo Sacha,0.36363636363636365,2017,giro-d-italia
Pozzato Filippo,0.36363636363636365,2017,giro-d-italia
Nibali Vincenzo,0.5454545454545454,2017,giro-d-italia
Kruijswijk Steven,0.45454545454545453,2017,giro-d-italia
Clement Stef,0.36363636363636365,2017,giro-d-italia
van Emden Jos,0.45454545454545453,2017,giro-d-italia
Morabito Steve,0.36363636363636365,2017,giro-d-italia
Bennati Daniele,0.09090909090909091,2017,giro-d-italia
Belkov Maxim,0.36363636363636365,2017,giro-d-italia
Losada Alberto,0.45454545454545453,2017,giro-d-italia
Bérard Julien,0.36363636363636365,2017,giro-d-italia
Antón Igor,0.45454545454545453,2017,giro-d-italia
Battaglin Enrico,0.2727272727272727,2017,giro-d-italia
Deignan Philip,0.36363636363636365,2017,giro-d-italia
Kiryienka Vasil,0.45454545454545453,2017,giro-d-italia
Nizzolo Giacomo,0.45454545454545453,2017,giro-d-italia
Amador Andrey,0.45454545454545453,2017,giro-d-italia
Tuft Svein,0.45454545454545453,2017,giro-d-italia
Ventoso Francisco José,0.2727272727272727,2017,giro-d-italia
Keizer Martijn,0.45454545454545453,2017,giro-d-italia
Samoilau Branislau,0.45454545454545453,2017,giro-d-italia
Rovny Ivan,0.36363636363636365,2017,giro-d-italia
Greipel André,0.09090909090909091,2017,giro-d-italia
Herrada José,0.36363636363636365,2017,giro-d-italia
Boem Nicola,0.36363636363636365,2017,giro-d-italia
Kišerlovski Robert,0.36363636363636365,2017,giro-d-italia
Monfort Maxime,0.36363636363636365,2017,giro-d-italia
Boaro Manuele,0.36363636363636365,2017,giro-d-italia
Mezgec Luka,0.2727272727272727,2017,giro-d-italia
Richeze Maximiliano,0.2727272727272727,2017,giro-d-italia
Ludvigsson Tobias,0.2727272727272727,2017,giro-d-italia
Quinziato Manuel,0.36363636363636365,2017,giro-d-italia
Kangert Tanel,0.36363636363636365,2017,giro-d-italia
Serry Pieter,0.18181818181818182,2017,giro-d-italia
Slagter Tom-Jelte,0.18181818181818182,2017,giro-d-italia
Gołaś Michał,0.18181818181818182,2017,giro-d-italia
Rosa Diego,0.18181818181818182,2017,giro-d-italia
Lagutin Sergey,0.2727272727272727,2017,giro-d-italia
Sutherland Rory,0.2727272727272727,2017,giro-d-italia
Ruffoni Nicola,0.0,2017,giro-d-italia
Van den Broeck Jurgen,0.2727272727272727,2017,giro-d-italia
Puccio Salvatore,0.2727272727272727,2017,giro-d-italia
Didier Laurent,0.2727272727272727,2017,giro-d-italia
Stetina Peter,0.2727272727272727,2017,giro-d-italia
Geniez Alexandre,0.18181818181818182,2017,giro-d-italia
Keisse Iljo,0.2727272727272727,2017,giro-d-italia
Bonnet William,0.09090909090909091,2017,giro-d-italia
Alafaci Eugenio,0.2727272727272727,2017,giro-d-italia
Hepburn Michael,0.2727272727272727,2017,giro-d-italia
Gastauer Ben,0.2727272727272727,2017,giro-d-italia
Landa Mikel,0.18181818181818182,2017,giro-d-italia
Henao Sebastián,0.2727272727272727,2017,giro-d-italia
Hernández Blázquez Jesús,0.18181818181818182,2017,giro-d-italia
Busato Matteo,0.18181818181818182,2017,giro-d-italia
Dillier Silvan,0.09090909090909091,2017,giro-d-italia
Pelucchi Matteo,0.0,2017,giro-d-italia
Ponzi Simone,0.18181818181818182,2017,giro-d-italia
Haga Chad,0.18181818181818182,2017,giro-d-italia
De Clercq Bart,0.18181818181818182,2017,giro-d-italia
Barbin Enrico,0.09090909090909091,2017,giro-d-italia
Formolo Davide,0.18181818181818182,2017,giro-d-italia
Geschke Simon,0.18181818181818182,2017,giro-d-italia
Vaugrenard Benoît,0.18181818181818182,2017,giro-d-italia
Rojas José Joaquín,0.09090909090909091,2017,giro-d-italia
Juul-Jensen Christopher,0.18181818181818182,2017,giro-d-italia
