rider,finished,year,race
Chavanel Sylvain,0.875,2017,tour-de-france
Zubeldia Haimar,0.875,2017,tour-de-france
Voeckler Thomas,0.875,2017,tour-de-france
Eisel Bernhard,0.6875,2017,tour-de-france
Cavendish Mark,0.375,2017,tour-de-france
Contador Alberto,0.3125,2017,tour-de-france
Valverde Alejandro,0.4375,2017,tour-de-france
Grivko Andrey,0.5,2017,tour-de-france
Rolland Pierre,0.5,2017,tour-de-france
Martin Tony,0.3125,2017,tour-de-france
ten Dam Laurens,0.5,2017,tour-de-france
Moinard Amaël,0.5,2017,tour-de-france
Renshaw Mark,0.1875,2017,tour-de-france
Burghardt Marcus,0.5,2017,tour-de-france
Albasini Michael,0.4375,2017,tour-de-france
Sieberg Marcel,0.375,2017,tour-de-france
Thomas Geraint,0.4375,2017,tour-de-france
Erviti Imanol,0.375,2017,tour-de-france
Roche Nicolas,0.4375,2017,tour-de-france
Knees Christian,0.4375,2017,tour-de-france
Hansen Adam,0.375,2017,tour-de-france
Navarro Daniel,0.25,2017,tour-de-france
Kreuziger Roman,0.4375,2017,tour-de-france
Gilbert Philippe,0.375,2017,tour-de-france
Gautier Cyril,0.4375,2017,tour-de-france
Schär Michael,0.3125,2017,tour-de-france
Timmer Albert,0.375,2017,tour-de-france
Fuglsang Jakob,0.375,2017,tour-de-france
Froome Chris,0.3125,2017,tour-de-france
Mollema Bauke,0.3125,2017,tour-de-france
Roelandts Jürgen,0.375,2017,tour-de-france
Porte Richie,0.375,2017,tour-de-france
Gène Yohann,0.375,2017,tour-de-france
Bak Lars Ytting,0.375,2017,tour-de-france
Arashiro Yukiya,0.375,2017,tour-de-france
Kiryienka Vasil,0.25,2017,tour-de-france
Bennati Daniele,0.25,2017,tour-de-france
Greipel André,0.375,2017,tour-de-france
Gallopin Tony,0.3125,2017,tour-de-france
Gesink Robert,0.25,2017,tour-de-france
Boasson Hagen Edvald,0.3125,2017,tour-de-france
Feillu Brice,0.375,2017,tour-de-france
Curvers Roy,0.3125,2017,tour-de-france
Lemoine Cyril,0.3125,2017,tour-de-france
Bono Matteo,0.25,2017,tour-de-france
Vichot Arthur,0.25,2017,tour-de-france
Bouet Maxime,0.25,2017,tour-de-france
de Kort Koen,0.3125,2017,tour-de-france
Delage Mickaël,0.25,2017,tour-de-france
Pinot Thibaut,0.1875,2017,tour-de-france
Sabatini Fabio,0.3125,2017,tour-de-france
Sagan Peter,0.3125,2017,tour-de-france
Irizar Markel,0.3125,2017,tour-de-france
Maté Luis Ángel,0.3125,2017,tour-de-france
Simon Julien,0.25,2017,tour-de-france
Impey Daryl,0.1875,2017,tour-de-france
Bodnar Maciej,0.25,2017,tour-de-france
Kristoff Alexander,0.25,2017,tour-de-france
De Gendt Thomas,0.25,2017,tour-de-france
Kittel Marcel,0.1875,2017,tour-de-france
Frank Mathias,0.0625,2017,tour-de-france
Edet Nicolas,0.25,2017,tour-de-france
Cimolai Davide,0.25,2017,tour-de-france
Cummings Steve,0.25,2017,tour-de-france
Martin Dan,0.25,2017,tour-de-france
Bakelants Jan,0.25,2017,tour-de-france
Geschke Simon,0.25,2017,tour-de-france
Van Avermaet Greg,0.1875,2017,tour-de-france
Brajkovič Janez,0.125,2017,tour-de-france
Bardet Romain,0.25,2017,tour-de-france
Degenkolb John,0.25,2017,tour-de-france
Leezer Tom,0.1875,2017,tour-de-france
Božič Borut,0.0625,2017,tour-de-france
Kwiatkowski Michał,0.125,2017,tour-de-france
Bauer Jack,0.0625,2017,tour-de-france
Vachon Florian,0.1875,2017,tour-de-france
