rider,finished,year,race
Moreno Daniel,1.0,2017,vuelta-a-espana
Antón Igor,0.6,2017,vuelta-a-espana
Sánchez Luis León,0.6,2017,vuelta-a-espana
Hansen Adam,0.8,2017,vuelta-a-espana
Irizar Markel,0.6,2017,vuelta-a-espana
Fröhlinger Johannes,0.8,2017,vuelta-a-espana
Arroyo David,0.7,2017,vuelta-a-espana
López David,0.6,2017,vuelta-a-espana
Losada Alberto,0.6,2017,vuelta-a-espana
Hernández Blázquez Jesús,0.4,2017,vuelta-a-espana
Moreno Javier,0.6,2017,vuelta-a-espana
Roche Nicolas,0.6,2017,vuelta-a-espana
Monfort Maxime,0.6,2017,vuelta-a-espana
Froome Chris,0.4,2017,vuelta-a-espana
Nieve Mikel,0.5,2017,vuelta-a-espana
Terpstra Niki,0.4,2017,vuelta-a-espana
de Kort Koen,0.4,2017,vuelta-a-espana
De Clercq Bart,0.4,2017,vuelta-a-espana
Maté Luis Ángel,0.5,2017,vuelta-a-espana
Clement Stef,0.3,2017,vuelta-a-espana
Knees Christian,0.4,2017,vuelta-a-espana
Niemiec Przemysław,0.3,2017,vuelta-a-espana
Capecchi Eros,0.3,2017,vuelta-a-espana
De Gendt Thomas,0.2,2017,vuelta-a-espana
Navarro Daniel,0.4,2017,vuelta-a-espana
Majka Rafał,0.3,2017,vuelta-a-espana
Geniez Alexandre,0.4,2017,vuelta-a-espana
Contador Alberto,0.4,2017,vuelta-a-espana
Degenkolb John,0.4,2017,vuelta-a-espana
Nibali Vincenzo,0.3,2017,vuelta-a-espana
Clarke Simon,0.3,2017,vuelta-a-espana
van Garderen Tejay,0.1,2017,vuelta-a-espana
Barguil Warren,0.2,2017,vuelta-a-espana
Bennett George,0.3,2017,vuelta-a-espana
Bilbao Pello,0.3,2017,vuelta-a-espana
de la Cruz David,0.1,2017,vuelta-a-espana
Stannard Ian,0.2,2017,vuelta-a-espana
Courteille Arnaud,0.2,2017,vuelta-a-espana
Bewley Sam,0.2,2017,vuelta-a-espana
Roux Anthony,0.2,2017,vuelta-a-espana
Pardilla Sergio,0.2,2017,vuelta-a-espana
Meintjes Louis,0.3,2017,vuelta-a-espana
Puccio Salvatore,0.2,2017,vuelta-a-espana
Chaves Esteban,0.3,2017,vuelta-a-espana
Rojas José Joaquín,0.1,2017,vuelta-a-espana
Mas Lluís,0.1,2017,vuelta-a-espana
Warbasse Larry,0.3,2017,vuelta-a-espana
Taaramäe Rein,0.1,2017,vuelta-a-espana
Poels Wout,0.2,2017,vuelta-a-espana
Ventoso Francisco José,0.3,2017,vuelta-a-espana
Kreder Michel,0.2,2017,vuelta-a-espana
Lobato Juan José,0.1,2017,vuelta-a-espana
Debusschere Jens,0.1,2017,vuelta-a-espana
Caruso Damiano,0.2,2017,vuelta-a-espana
Le Bon Johan,0.1,2017,vuelta-a-espana
Fraile Omar,0.2,2017,vuelta-a-espana
Pauwels Serge,0.2,2017,vuelta-a-espana
Rossetto Stéphane,0.1,2017,vuelta-a-espana
Pozzovivo Domenico,0.2,2017,vuelta-a-espana
Verona Carlos,0.2,2017,vuelta-a-espana
Kudus Merhawi,0.2,2017,vuelta-a-espana
Villella Davide,0.2,2017,vuelta-a-espana
Kruijswijk Steven,0.1,2017,vuelta-a-espana
Lindeman Bert-Jan,0.2,2017,vuelta-a-espana
Aru Fabio,0.2,2017,vuelta-a-espana
Agnoli Valerio,0.2,2017,vuelta-a-espana
Manzin Lorrenzo,0.1,2017,vuelta-a-espana
Tuft Svein,0.1,2017,vuelta-a-espana
Betancur Carlos,0.2,2017,vuelta-a-espana
King Ben,0.2,2017,vuelta-a-espana
Haga Chad,0.2,2017,vuelta-a-espana
Dombrowski Joe,0.2,2017,vuelta-a-espana
Gonçalves José,0.1,2017,vuelta-a-espana
Atapuma Darwin,0.2,2017,vuelta-a-espana
Armée Sander,0.2,2017,vuelta-a-espana
Marczyński Tomasz,0.1,2017,vuelta-a-espana
De Marchi Alessandro,0.2,2017,vuelta-a-espana
Pellizotti Franco,0.2,2017,vuelta-a-espana
Ludvigsson Tobias,0.2,2017,vuelta-a-espana
Janse van Rensburg Jacques,0.1,2017,vuelta-a-espana
Oliveira Nelson,0.2,2017,vuelta-a-espana
Bonnafond Guillaume,0.2,2017,vuelta-a-espana
Chernetski Sergei,0.1,2017,vuelta-a-espana
Haig Jack,0.1,2017,vuelta-a-espana
Eiking Odd Christian,0.1,2017,vuelta-a-espana
Yates Adam,0.1,2017,vuelta-a-espana
Benedetti Cesare,0.1,2017,vuelta-a-espana
Chevrier Clément,0.1,2017,vuelta-a-espana
Denifl Stefan,0.0,2017,vuelta-a-espana
Van Asbroeck Tom,0.1,2017,vuelta-a-espana
Mørkøv Michael,0.1,2017,vuelta-a-espana
Mohorič Matej,0.0,2017,vuelta-a-espana
Bernard Julien,0.1,2017,vuelta-a-espana
Lutsenko Alexey,0.1,2017,vuelta-a-espana
Wallays Jelle,0.1,2017,vuelta-a-espana
Boaro Manuele,0.1,2017,vuelta-a-espana
Reguigui Youcef,0.1,2017,vuelta-a-espana
Fernández Rubén,0.1,2017,vuelta-a-espana
Kelderman Wilco,0.1,2017,vuelta-a-espana
Schwarzmann Michael,0.1,2017,vuelta-a-espana
Rosón Jaime,0.1,2017,vuelta-a-espana
Gougeard Alexis,0.1,2017,vuelta-a-espana
Vilela Ricardo,0.1,2017,vuelta-a-espana
López Miguel Ángel,0.0,2017,vuelta-a-espana
Lampaert Yves,0.1,2017,vuelta-a-espana
Rosa Diego,0.1,2017,vuelta-a-espana
Dennis Rohan,0.1,2017,vuelta-a-espana
Visconti Giovanni,0.1,2017,vuelta-a-espana
Dougall Nic,0.1,2017,vuelta-a-espana
Vanbilsen Kenneth,0.0,2017,vuelta-a-espana
Poljański Paweł,0.1,2017,vuelta-a-espana
Zurlo Federico,0.0,2017,vuelta-a-espana
Hansen Jesper,0.1,2017,vuelta-a-espana
Jungels Bob,0.0,2017,vuelta-a-espana
Cort Magnus,0.1,2017,vuelta-a-espana
Yates Simon,0.1,2017,vuelta-a-espana
van Genechten Jonas,0.1,2017,vuelta-a-espana
Pfingsten Christoph,0.1,2017,vuelta-a-espana
Ferrari Fabricio,0.1,2017,vuelta-a-espana
Domont Axel,0.1,2017,vuelta-a-espana
Bystrøm Sven Erik,0.1,2017,vuelta-a-espana
Mamykin Matvey,0.1,2017,vuelta-a-espana
Bouwman Koen,0.1,2017,vuelta-a-espana
Valverde Alejandro,0.9090909090909091,2018,vuelta-a-espana
Moreno Daniel,1.0,2018,vuelta-a-espana
Bennati Daniele,0.7272727272727273,2018,vuelta-a-espana
Antón Igor,0.6363636363636364,2018,vuelta-a-espana
Erviti Imanol,0.9090909090909091,2018,vuelta-a-espana
Fröhlinger Johannes,0.8181818181818182,2018,vuelta-a-espana
Irizar Markel,0.6363636363636364,2018,vuelta-a-espana
Roche Nicolas,0.6363636363636364,2018,vuelta-a-espana
Monfort Maxime,0.5454545454545454,2018,vuelta-a-espana
Cataldo Dario,0.5454545454545454,2018,vuelta-a-espana
Maté Luis Ángel,0.5454545454545454,2018,vuelta-a-espana
Zeits Andrey,0.5454545454545454,2018,vuelta-a-espana
Majka Rafał,0.36363636363636365,2018,vuelta-a-espana
Delage Mickaël,0.2727272727272727,2018,vuelta-a-espana
Geniez Alexandre,0.36363636363636365,2018,vuelta-a-espana
De Gendt Thomas,0.2727272727272727,2018,vuelta-a-espana
Nibali Vincenzo,0.36363636363636365,2018,vuelta-a-espana
Clarke Simon,0.36363636363636365,2018,vuelta-a-espana
Dupont Hubert,0.45454545454545453,2018,vuelta-a-espana
Martin Dan,0.2727272727272727,2018,vuelta-a-espana
Bennett George,0.2727272727272727,2018,vuelta-a-espana
Meintjes Louis,0.36363636363636365,2018,vuelta-a-espana
Docker Mitchell,0.2727272727272727,2018,vuelta-a-espana
Cherel Mikaël,0.36363636363636365,2018,vuelta-a-espana
Ventoso Francisco José,0.36363636363636365,2018,vuelta-a-espana
Puccio Salvatore,0.2727272727272727,2018,vuelta-a-espana
Mas Lluís,0.18181818181818182,2018,vuelta-a-espana
Serry Pieter,0.2727272727272727,2018,vuelta-a-espana
Bilbao Pello,0.36363636363636365,2018,vuelta-a-espana
de la Cruz David,0.09090909090909091,2018,vuelta-a-espana
Pardilla Sergio,0.2727272727272727,2018,vuelta-a-espana
Quintana Nairo,0.2727272727272727,2018,vuelta-a-espana
Urán Rigoberto,0.2727272727272727,2018,vuelta-a-espana
Machado Tiago,0.36363636363636365,2018,vuelta-a-espana
Sagan Peter,0.09090909090909091,2018,vuelta-a-espana
Brambilla Gianluca,0.18181818181818182,2018,vuelta-a-espana
Armée Sander,0.2727272727272727,2018,vuelta-a-espana
Van der Sande Tosh,0.2727272727272727,2018,vuelta-a-espana
Bouhanni Nacer,0.0,2018,vuelta-a-espana
Rossetto Stéphane,0.18181818181818182,2018,vuelta-a-espana
Fraile Omar,0.18181818181818182,2018,vuelta-a-espana
Lindeman Bert-Jan,0.2727272727272727,2018,vuelta-a-espana
Henao Sergio,0.2727272727272727,2018,vuelta-a-espana
Mollema Bauke,0.2727272727272727,2018,vuelta-a-espana
Conti Valerio,0.2727272727272727,2018,vuelta-a-espana
Anacona Winner,0.2727272727272727,2018,vuelta-a-espana
Oliveira Nelson,0.2727272727272727,2018,vuelta-a-espana
Kudus Merhawi,0.18181818181818182,2018,vuelta-a-espana
Gonçalves José,0.09090909090909091,2018,vuelta-a-espana
Kruijswijk Steven,0.18181818181818182,2018,vuelta-a-espana
Castroviejo Jonathan,0.2727272727272727,2018,vuelta-a-espana
Herrada José,0.2727272727272727,2018,vuelta-a-espana
King Ben,0.18181818181818182,2018,vuelta-a-espana
Rolland Pierre,0.18181818181818182,2018,vuelta-a-espana
Villella Davide,0.2727272727272727,2018,vuelta-a-espana
De Marchi Alessandro,0.2727272727272727,2018,vuelta-a-espana
Aru Fabio,0.2727272727272727,2018,vuelta-a-espana
Sabatini Fabio,0.2727272727272727,2018,vuelta-a-espana
Pellizotti Franco,0.2727272727272727,2018,vuelta-a-espana
Haig Jack,0.18181818181818182,2018,vuelta-a-espana
Yates Adam,0.18181818181818182,2018,vuelta-a-espana
Mørkøv Michael,0.18181818181818182,2018,vuelta-a-espana
Langeveld Sebastian,0.18181818181818182,2018,vuelta-a-espana
Gougeard Alexis,0.18181818181818182,2018,vuelta-a-espana
Kochetkov Pavel,0.18181818181818182,2018,vuelta-a-espana
Kelderman Wilco,0.18181818181818182,2018,vuelta-a-espana
Pinot Thibaut,0.09090909090909091,2018,vuelta-a-espana
Albasini Michael,0.09090909090909091,2018,vuelta-a-espana
Van Asbroeck Tom,0.18181818181818182,2018,vuelta-a-espana
Dennis Rohan,0.09090909090909091,2018,vuelta-a-espana
Burghardt Marcus,0.09090909090909091,2018,vuelta-a-espana
Schwarzmann Michael,0.18181818181818182,2018,vuelta-a-espana
Felline Fabio,0.18181818181818182,2018,vuelta-a-espana
Molard Rudy,0.18181818181818182,2018,vuelta-a-espana
