name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Froome Chris,1,4,1,7,7,4939,2017
Sagan Peter,42,-,1,12,12,4758,2017
Cavendish Mark,130,-,1,34,34,4371,2017
Valverde Alejandro,3,-,1,4,4,4135,2017
Contador Alberto,1,2,1,3,3,2986,2017
Quintana Nairo,2,-,1,3,3,2901,2017
Bardet Romain,2,-,1,3,3,2863,2017
Greipel André,123,-,1,11,11,2800,2017
Thomas Geraint,1,1,1,3,3,2444,2017
Zubeldia Haimar,5,-,2,-,-,2362,2017
Mollema Bauke,6,-,1,2,2,2292,2017
Kristoff Alexander,114,-,1,4,4,2283,2017
Boasson Hagen Edvald,53,-,1,3,3,2168,2017
Rolland Pierre,8,-,1,2,2,2066,2017
Martin Dan,6,-,1,2,2,2057,2017
Kreuziger Roman,5,-,4,-,-,1975,2017
Urán Rigoberto,2,-,1,1,1,1914,2017
Porte Richie,3,-,2,-,-,1887,2017
Pinot Thibaut,3,-,1,3,3,1838,2017
Kittel Marcel,161,-,1,14,14,1828,2017
Voeckler Thomas,4,-,1,4,4,1718,2017
Landa Mikel,4,-,3,-,-,1610,2017
Roglič Primož,2,-,1,3,3,1577,2017
Van Avermaet Greg,28,-,1,2,2,1550,2017
Chavanel Sylvain,18,-,1,3,3,1509,2017
Barguil Warren,10,-,1,2,2,1377,2017
Matthews Michael,67,-,1,3,3,1310,2017
Degenkolb John,109,-,1,1,1,1289,2017
Martin Tony,36,-,1,5,5,1175,2017
Roche Nicolas,12,-,2,-,-,1135,2017
Gesink Robert,5,-,2,-,-,1094,2017
Fuglsang Jakob,7,-,2,-,-,1074,2017
Majka Rafał,19,-,1,3,3,1070,2017
Groenewegen Dylan,145,-,1,4,4,1051,2017
Bennati Daniele,75,-,1,2,2,1040,2017
Kwiatkowski Michał,11,-,1,1,1,1000,2017
Martin Guillaume,8,-,3,-,-,997,2017
Gilbert Philippe,38,-,1,1,1,992,2017
Aru Fabio,5,-,1,1,1,956,2017
Démare Arnaud,138,-,1,2,2,907,2017
Trentin Matteo,52,-,1,3,3,859,2017
Gallopin Tony,21,-,1,1,1,858,2017
Caruso Damiano,10,-,4,-,-,847,2017
Nieve Mikel,12,-,3,-,-,843,2017
Buchmann Emanuel,4,-,3,-,-,814,2017
Ten Dam Laurens,9,-,5,-,-,805,2017
Meintjes Louis,8,-,4,-,-,805,2017
Colbrelli Sonny,52,-,2,-,-,803,2017
De Gendt Thomas,40,-,1,2,2,764,2017
Bakelants Jan,18,-,1,1,1,739,2017
Eisel Bernhard,106,-,3,-,-,718,2017
Laporte Christophe,91,-,2,-,-,688,2017
Feillu Brice,16,-,1,1,1,686,2017
Lutsenko Alexey,7,-,1,1,1,656,2017
Yates Simon,7,-,1,2,2,656,2017
Izagirre Ion,22,-,1,1,1,642,2017
Talansky Andrew,10,-,2,-,-,625,2017
Vuillermoz Alexis,13,-,1,1,1,617,2017
Pauwels Serge,13,-,2,-,-,601,2017
Impey Daryl,38,-,1,1,1,597,2017
Navarro Daniel,9,-,3,-,-,594,2017
Pantano Jarlinson,19,-,1,1,1,552,2017
Geschke Simon,25,-,1,1,1,520,2017
Gautier Cyril,25,-,4,-,-,490,2017
Albasini Michael,59,-,2,-,-,485,2017
Moinard Amaël,14,-,5,-,-,466,2017
Renshaw Mark,142,-,2,-,-,464,2017
Bouhanni Nacer,138,-,2,-,-,461,2017
Burghardt Marcus,58,-,1,1,1,421,2017
Knees Christian,19,-,4,-,-,418,2017
Simon Julien,87,-,6,-,-,394,2017
Frank Mathias,8,-,5,-,-,378,2017
Benoot Tiesj,20,-,2,-,-,373,2017
Henao Sergio,12,-,10,-,-,373,2017
Cummings Steve,86,-,1,2,2,371,2017
Herrada Jesús,20,-,2,-,-,368,2017
Roelandts Jürgen,85,-,4,-,-,355,2017
Latour Pierre,13,-,2,-,-,354,2017
Kiryienka Vasil,60,-,2,-,-,352,2017
Erviti Imanol,67,-,2,-,-,348,2017
Castroviejo Jonathan,23,-,6,-,-,340,2017
Küng Stefan,49,-,2,-,-,340,2017
Naesen Oliver,61,-,4,-,-,333,2017
Grivko Andrey,43,-,5,-,-,327,2017
Bodnar Maciej,112,-,1,1,1,326,2017
Cimolai Davide,137,-,4,-,-,323,2017
Chaves Esteban,13,-,10,-,-,318,2017
Brajkovič Janez,9,-,8,-,-,307,2017
Calmejane Lilian,30,-,1,1,1,306,2017
Bouet Maxime,42,-,2,-,-,303,2017
Politt Nils,50,-,1,1,1,285,2017
Arndt Nikias,67,-,2,-,-,276,2017
Bak Lars Ytting,37,-,4,-,-,270,2017
Valgren Michael,44,-,4,-,-,260,2017
Schär Michael,43,-,17,-,-,250,2017
Lemoine Cyril,110,-,3,-,-,246,2017
Teunissen Mike,76,-,1,1,1,245,2017
Périchon Pierre-luc,42,-,4,-,-,242,2017
Arashiro Yukiya,65,-,5,-,-,241,2017
Sicard Romain,31,-,7,-,-,233,2017
Božič Borut,136,-,6,-,-,231,2017
Pasqualon Andrea,88,-,6,-,-,228,2017
Gène Yohann,128,-,8,-,-,227,2017
De Kort Koen,70,-,9,-,-,226,2017
Edet Nicolas,43,-,6,-,-,223,2017
Mclay Daniel,170,-,3,-,-,217,2017
Maté Luis Ángel,31,-,6,-,-,216,2017
Marcato Marco,67,-,7,-,-,209,2017
Bennett George,24,-,7,-,-,207,2017
Keukeleire Jens,59,-,3,-,-,202,2017
Vichot Arthur,41,-,6,-,-,191,2017
Clarke Simon,61,-,9,-,-,186,2017
Timmer Albert,130,-,11,-,-,184,2017
Janse Van Rensburg Reinardt,96,-,8,-,-,183,2017
Štybar Zdeněk,102,-,1,1,1,181,2017
Hansen Adam,64,-,18,-,-,175,2017
Vachon Florian,88,-,10,-,-,174,2017
Đurasek Kristijan,46,-,4,-,-,173,2017
Durbridge Luke,100,-,7,-,-,172,2017
Irizar Markel,63,-,9,-,-,164,2017
Molard Rudy,33,-,14,-,-,162,2017
Curvers Roy,106,-,12,-,-,160,2017
Van Baarle Dylan,46,-,10,-,-,160,2017
Amador Andrey,50,-,11,-,-,159,2017
Haller Marco,126,-,12,-,-,158,2017
De Marchi Alessandro,52,-,5,-,-,158,2017
Sieberg Marcel,120,-,14,-,-,152,2017
Sabatini Fabio,117,-,17,-,-,150,2017
Rowe Luke,128,-,7,-,-,147,2017
Gastauer Ben,21,-,16,-,-,145,2017
Gesbert Élie,61,-,7,-,-,144,2017
Betancur Carlos,18,-,11,-,-,138,2017
Bettiol Alberto,62,-,5,-,-,135,2017
Martens Paul,80,-,5,-,-,135,2017
Bauer Jack,83,-,10,-,-,128,2017
Atapuma Darwin,41,-,2,-,-,126,2017
Bono Matteo,93,-,21,-,-,125,2017
Swift Ben,83,-,6,-,-,118,2017
Hardy Romain,26,-,10,-,-,116,2017
Petit Adrien,126,-,5,-,-,115,2017
Bole Grega,125,-,9,-,-,115,2017
Selig Rüdiger,165,-,4,-,-,115,2017
Guarnieri Jacopo,144,-,7,-,-,104,2017
Kišerlovski Robert,31,-,5,-,-,104,2017
Laengen Vegard Stake,82,-,14,-,-,102,2017
Boudat Thomas,89,-,6,-,-,102,2017
Delage Mickaël,101,-,23,-,-,100,2017
Quéméneur Perrig,74,-,17,-,-,100,2017
Gruzdev Dmitriy,113,-,22,-,-,100,2017
Vermote Julien,75,-,16,-,-,100,2017
Hollenstein Reto,75,-,27,-,-,100,2017
Leezer Tom,133,-,62,-,-,100,2017
Ulissi Diego,39,-,2,-,-,97,2017
Machado Tiago,72,-,10,-,-,85,2017
Hayman Mathew,108,-,12,-,-,82,2017
Phinney Taylor,136,-,9,-,-,82,2017
Smith Dion,97,-,9,-,-,80,2017
Van Emden Jos,121,-,5,-,-,79,2017
Offredo Yoann,91,-,22,-,-,75,2017
Sinkeldam Ramon,134,-,17,-,-,75,2017
Zabel Rick,134,-,11,-,-,68,2017
Vanspeybrouck Pieter,100,-,8,-,-,67,2017
Konovalovas Ignatas,127,-,4,-,-,65,2017
Wyss Danilo,63,-,10,-,-,60,2017
Mori Manuele,76,-,8,-,-,57,2017
Felline Fabio,65,-,5,-,-,57,2017
Mccarthy Jay,94,-,5,-,-,57,2017
Degand Thomas,34,-,16,-,-,55,2017
Wellens Tim,94,-,13,-,-,54,2017
Van Keirsbulck Guillaume,123,-,13,-,-,54,2017
Poljański Paweł,80,-,15,-,-,51,2017
Zeits Andrey,44,-,15,-,-,51,2017
Claeys Dimitri,130,-,56,-,-,50,2017
Pichon Laurent,98,-,19,-,-,50,2017
Gogl Michael,113,-,16,-,-,50,2017
Wagner Robert,163,-,31,-,-,50,2017
Minnaard Marco,40,-,23,-,-,50,2017
