,rider,scorito,year
1,Almeida João,1163.0,2020
125,Geoghegan Hart Tao,809.0,2020
45,Hindley Jai,610.0,2020
67,Kelderman Wilco,599.0,2020
91,Démare Arnaud,574.0,2020
0,Ganna Filippo,521.0,2020
105,Sagan Peter,469.0,2020
24,Bilbao Pello,378.0,2020
65,Masnada Fausto,360.0,2020
14,Dennis Rohan,349.0,2020
31,Ballerini Davide,345.0,2020
84,Guerreiro Ruben,342.0,2020
36,Honoré Mikkel Frølich,328.0,2020
61,Konrad Patrick,309.0,2020
23,Mcnulty Brandon,301.0,2020
42,Knox James,298.0,2020
66,Swift Ben,290.0,2020
163,Hodeg Álvaro José,282.0,2020
34,Castroviejo Jonathan,275.0,2020
68,Nibali Vincenzo,274.0,2020
121,Majka Rafał,257.0,2020
99,Fuglsang Jakob,252.0,2020
22,Matthews Michael,242.0,2020
102,Keisse Iljo,242.0,2020
80,Narváez Jhonatan,238.0,2020
73,Pozzovivo Domenico,232.0,2020
3,Thomas Geraint,228.0,2020
19,Serry Pieter,226.0,2020
90,Frankiny Kilian,222.0,2020
96,Puccio Salvatore,214.0,2020
8,Scotson Miles,210.0,2020
5,Černý Josef,204.0,2020
127,Vendrame Andrea,199.0,2020
37,Ulissi Diego,192.0,2020
39,Caicedo Jonathan Klever,187.0,2020
2,Bjerg Mikkel,180.0,2020
118,Guarnieri Jacopo,178.0,2020
101,Clarke Simon,172.0,2020
107,Vanhoucke Harm,167.0,2020
25,O'connor Ben,166.0,2020
86,Pernsteiner Hermann,164.0,2020
106,Konovalovas Ignatas,154.0,2020
168,Guglielmi Simon,154.0,2020
75,Thomas Benjamin,154.0,2020
38,Sinkeldam Ramon,154.0,2020
26,De Gendt Thomas,151.0,2020
17,Kangert Tanel,134.0,2020
10,Tratnik Jan,128.0,2020
115,Samitier Sergio,125.0,2020
132,Battaglin Enrico,122.0,2020
35,Campenaerts Victor,116.0,2020
20,Denz Nico,110.0,2020
49,Gaviria Fernando,106.0,2020
7,Craddock Lawson,106.0,2020
77,Rosskopf Joey,100.0,2020
155,Visconti Giovanni,99.0,2020
33,Bennett Sean,96.0,2020
12,Haga Chad,96.0,2020
70,Morton Lachlan,96.0,2020
93,Dowsett Alex,95.0,2020
152,Viviani Elia,94.0,2020
48,Hamilton Lucas,88.0,2020
15,Tusveld Martijn,80.0,2020
32,Whelan James,80.0,2020
6,Sobrero Matteo,79.0,2020
40,Oomen Sam,78.0,2020
29,Mosca Jacopo,76.0,2020
172,Fiorelli Filippo,74.0,2020
164,Cimolai Davide,73.0,2020
9,Brändle Matthias,73.0,2020
64,Zakarin Ilnur,68.0,2020
79,Molano Juan Sebastián,68.0,2020
100,Pellaud Simon,66.0,2020
120,Zabel Rick,64.0,2020
28,Warbasse Larry,62.0,2020
92,Oldani Stefano,60.0,2020
135,Barbier Rudy,59.0,2020
131,Padun Mark,54.0,2020
62,Fabbro Matteo,53.0,2020
108,Pedrero Antonio,52.0,2020
52,Conti Valerio,52.0,2020
21,Hamilton Chris,52.0,2020
4,Foss Tobias,51.0,2020
18,Gradek Kamil,50.0,2020
159,Lonardi Giovanni,48.0,2020
41,Felline Fabio,48.0,2020
137,Holmes Matthew,47.0,2020
130,Małecki Kamil,46.0,2020
56,Brambilla Gianluca,46.0,2020
95,Kruijswijk Steven,44.0,2020
89,Valter Attila,40.0,2020
110,Wackermann Luca,38.0,2020
145,Consonni Simone,38.0,2020
161,Van Empel Etienne,38.0,2020
43,Bodnar Maciej,37.0,2020
136,Armée Sander,34.0,2020
69,Ghebreigzabhier Amanuel,34.0,2020
148,Rubio Einer Augusto,32.0,2020
63,Dombrowski Joe,32.0,2020
87,Richeze Maximiliano,32.0,2020
51,Benedetti Cesare,31.0,2020
97,Ravanelli Simone,30.0,2020
133,Torres Albert,28.0,2020
140,Bouchard Geoffrey,28.0,2020
55,Boaro Manuele,28.0,2020
141,Novak Domen,28.0,2020
166,Villella Davide,28.0,2020
60,Rodríguez Óscar,26.0,2020
44,Poljański Paweł,25.0,2020
50,Gamper Patrick,25.0,2020
126,Rota Lorenzo,24.0,2020
153,Carboni Giovanni,24.0,2020
122,Bidard François,24.0,2020
151,Tonelli Alessandro,22.0,2020
142,Hansen Jesper,22.0,2020
170,Haas Nathan,20.0,2020
169,Restrepo Jhonatan,20.0,2020
171,Edet Nicolas,18.0,2020
11,Van Emden Jos,18.0,2020
113,Paret-peintre Aurélien,16.0,2020
103,Meintjes Louis,16.0,2020
139,De La Parte Víctor,16.0,2020
129,Zardini Edoardo,14.0,2020
16,Yates Simon,14.0,2020
71,Mathis Marco,14.0,2020
13,Hepburn Michael,14.0,2020
123,Cataford Alexander,13.0,2020
117,Sagiv Guy,13.0,2020
116,Navarro Daniel,13.0,2020
83,Capecchi Eros,12.0,2020
59,Wyss Danilo,10.0,2020
109,Kochetkov Pavel,10.0,2020
157,Sunderland Dylan,10.0,2020
114,Arashiro Yukiya,10.0,2020
94,Haig Jack,8.0,2020
134,Spreafico Matteo,6.0,2020
167,Cepeda Jefferson Alexander,6.0,2020
111,Frapporti Marco,6.0,2020
160,Bevilacqua Simone,6.0,2020
46,Pfingsten Christoph,2.0,2020
149,Bisolti Alessandro,2.0,2020
74,Bais Mattia,1.0,2020
162,Romano Francesco,0.0,2020
154,Mazzucco Fabio,0.0,2020
158,Hansen Adam,0.0,2020
174,Covili Luca,0.0,2020
156,Bernard Julien,0.0,2020
165,Hänninen Jaakko,0.0,2020
173,Chirico Luca,0.0,2020
150,Weening Pieter,0.0,2020
88,Cataldo Dario,0.0,2020
147,Tolhoek Antwan,0.0,2020
81,Affini Edoardo,0.0,2020
27,Harper Chris,0.0,2020
30,Gallopin Tony,0.0,2020
47,Bookwalter Brent,0.0,2020
53,Vlasov Aleksandr,0.0,2020
54,Bouwman Koen,0.0,2020
57,Gastauer Ben,0.0,2020
58,Martin Tony,0.0,2020
72,Contreras Rodrigo,0.0,2020
76,Sepúlveda Eduardo,0.0,2020
78,Carretero Héctor,0.0,2020
82,Rumac Josip,0.0,2020
146,Nibali Antonio,0.0,2020
85,Meyer Cameron,0.0,2020
98,Howson Damien,0.0,2020
104,Conci Nicola,0.0,2020
112,Le Turnier Mathias,0.0,2020
119,Rossetto Stéphane,0.0,2020
124,Gregaard Jonas,0.0,2020
128,Hagen Carl Fredrik,0.0,2020
138,Dibben Jonathan,0.0,2020
143,Zana Filippo,0.0,2020
144,Ciccone Giulio,0.0,2020
175,López Miguel Ángel,0.0,2020
