name,team,points,ranking,type,year
Valverde Alejandro,Movistar Team,980,5,top-gc-riders,2016
Pozzovivo Domenico,AG2R La Mondiale,689,9,top-gc-riders,2016
Majka Rafał,Tinkoff,595,12,top-gc-riders,2016
Urán Rigoberto,Cannondale Pro Cycling Team,535,15,top-gc-riders,2016
Dumoulin Tom,Team Giant - Alpecin,496,17,top-gc-riders,2016
Nibali Vincenzo,Astana Pro Team,485,19,top-gc-riders,2016
Nieve Mikel,Team Sky,468,20,top-gc-riders,2016
Chaves Esteban,Orica GreenEDGE,433,28,top-gc-riders,2016
Landa Mikel,Team Sky,417,29,top-gc-riders,2016
Kruijswijk Steven,Team LottoNL-Jumbo,416,30,top-gc-riders,2016
Roglič Primož,Team LottoNL-Jumbo,359,39,top-gc-riders,2016
Wellens Tim,Lotto Soudal,345,44,top-gc-riders,2016
Taaramäe Rein,Team Katusha ,344,45,top-gc-riders,2016
Jungels Bob,Etixx - Quick Step,314,52,top-gc-riders,2016
Dombrowski Joe,Cannondale Pro Cycling Team,286,59,top-gc-riders,2016
Atapuma Darwin,BMC Racing Team,276,63,top-gc-riders,2016
Fuglsang Jakob,Astana Pro Team,272,67,top-gc-riders,2016
Amador Andrey,Movistar Team,255,75,top-gc-riders,2016
Kangert Tanel,Astana Pro Team,245,82,top-gc-riders,2016
Brambilla Gianluca,Etixx - Quick Step,215,98,top-gc-riders,2016
Ulissi Diego,Lampre - Merida,201,103,top-gc-riders,2016
Boaro Manuele,Tinkoff,190,110,top-gc-riders,2016
Formolo Davide,Cannondale Pro Cycling Team,183,117,top-gc-riders,2016
Modolo Sacha,Lampre - Merida,176,125,top-gc-riders,2016
Konovalovas Ignatas,FDJ,168,138,top-gc-riders,2016
Cardoso André,Cannondale Pro Cycling Team,165,143,top-gc-riders,2016
Zeits Andrey,Astana Pro Team,163,146,top-gc-riders,2016
Dillier Silvan,BMC Racing Team,150,166,top-gc-riders,2016
Zoidl Riccardo,Trek - Segafredo,146,174,top-gc-riders,2016
Hansen Adam,Lotto Soudal,142,180,top-gc-riders,2016
Henao Sebastián,Team Sky,138,186,top-gc-riders,2016
Colbrelli Sonny,Bardiani - CSF,130,197,top-gc-riders,2016
Pirazzi Stefano,Bardiani - CSF,121,213,top-gc-riders,2016
Laengen Vegard Stake,IAM Cycling,115,225,top-gc-riders,2016
Warbasse Larry,IAM Cycling,113,229,top-gc-riders,2016
Moreno Javier,Movistar Team,108,239,top-gc-riders,2016
Ewan Caleb,Orica GreenEDGE,105,252,top-gc-riders,2016
Mareczko Jakub,Wilier - Southeast,100,263,top-gc-riders,2016
Bole Grega,Nippo - Vini Fantini ,99,265,top-gc-riders,2016
Serry Pieter,Etixx - Quick Step,98,269,top-gc-riders,2016
de la Cruz David,Etixx - Quick Step,97,270,top-gc-riders,2016
Küng Stefan,BMC Racing Team,88,295,top-gc-riders,2016
Arndt Nikias,Team Giant - Alpecin,86,299,top-gc-riders,2016
Haussler Heinrich,IAM Cycling,85,303,top-gc-riders,2016
Sbaragli Kristian,Team Dimension Data,84,309,top-gc-riders,2016
Brändle Matthias,IAM Cycling,81,315,top-gc-riders,2016
Kochetkov Pavel,Team Katusha ,78,329,top-gc-riders,2016
Clarke Simon,Cannondale Pro Cycling Team,71,357,top-gc-riders,2016
Conti Valerio,Lampre - Merida,71,356,top-gc-riders,2016
Fraile Omar,Team Dimension Data,71,352,top-gc-riders,2016
van Emden Jos,Team LottoNL-Jumbo,69,365,top-gc-riders,2016
Viviani Elia,Team Sky,61,393,top-gc-riders,2016
Howson Damien,Orica GreenEDGE,58,415,top-gc-riders,2016
Sütterlin Jasha,Movistar Team,57,417,top-gc-riders,2016
Mezgec Luka,Orica GreenEDGE,55,431,top-gc-riders,2016
van Poppel Boy,Trek - Segafredo,53,443,top-gc-riders,2016
Rojas José Joaquín,Movistar Team,53,446,top-gc-riders,2016
Rosskopf Joey,BMC Racing Team,52,450,top-gc-riders,2016
Martínez Daniel Felipe,Wilier - Southeast,52,452,top-gc-riders,2016
Grosu Eduard-Michael,Nippo - Vini Fantini ,52,449,top-gc-riders,2016
Kluge Roger,IAM Cycling,50,464,top-gc-riders,2016
Petilli Simone,Lampre - Merida,45,494,top-gc-riders,2016
Battaglin Enrico,Team LottoNL-Jumbo,45,489,top-gc-riders,2016
Herrada José,Movistar Team,42,513,top-gc-riders,2016
Haga Chad,Team Giant - Alpecin,42,517,top-gc-riders,2016
Verona Carlos,Etixx - Quick Step,41,525,top-gc-riders,2016
Ludvigsson Tobias,Team Giant - Alpecin,40,543,top-gc-riders,2016
Bisolti Alessandro,Nippo - Vini Fantini ,38,552,top-gc-riders,2016
Houle Hugo,AG2R La Mondiale,37,559,top-gc-riders,2016
Kudus Merhawi,Team Dimension Data,36,574,top-gc-riders,2016
Bewley Sam,Orica GreenEDGE,35,602,top-gc-riders,2016
Hepburn Michael,Orica GreenEDGE,35,592,top-gc-riders,2016
Nizzolo Giacomo,Trek - Segafredo,35,590,top-gc-riders,2016
Oss Daniel,BMC Racing Team,35,596,top-gc-riders,2016
Démare Arnaud,FDJ,33,614,top-gc-riders,2016
Trentin Matteo,Etixx - Quick Step,32,629,top-gc-riders,2016
