name,team,points,ranking,type,year
Quintana Nairo,Movistar Team,1200,1,top-gc-riders,2016
Froome Chris,Team Sky,1015,3,top-gc-riders,2016
Valverde Alejandro,Movistar Team,980,5,top-gc-riders,2016
Porte Richie,BMC Racing Team,901,6,top-gc-riders,2016
Pinot Thibaut,FDJ,848,7,top-gc-riders,2016
Pozzovivo Domenico,AG2R La Mondiale,689,9,top-gc-riders,2016
Majka Rafał,Tinkoff,595,12,top-gc-riders,2016
Thomas Geraint,Team Sky,590,13,top-gc-riders,2016
Mollema Bauke,Trek - Segafredo,535,14,top-gc-riders,2016
Bardet Romain,AG2R La Mondiale,523,16,top-gc-riders,2016
Dumoulin Tom,Team Giant - Alpecin,496,17,top-gc-riders,2016
Henao Sergio,Team Sky,494,18,top-gc-riders,2016
Nibali Vincenzo,Astana Pro Team,485,19,top-gc-riders,2016
Nieve Mikel,Team Sky,468,20,top-gc-riders,2016
Izagirre Ion,Movistar Team,468,21,top-gc-riders,2016
Boasson Hagen Edvald,Team Dimension Data,455,23,top-gc-riders,2016
Costa Rui,Lampre - Merida,446,25,top-gc-riders,2016
Dennis Rohan,BMC Racing Team,440,27,top-gc-riders,2016
Van Avermaet Greg,BMC Racing Team,440,26,top-gc-riders,2016
Landa Mikel,Team Sky,417,29,top-gc-riders,2016
Meintjes Louis,Lampre - Merida,372,36,top-gc-riders,2016
Rolland Pierre,Cannondale-Drapac Pro Cycling Team,352,41,top-gc-riders,2016
Kristoff Alexander,Team Katusha ,342,46,top-gc-riders,2016
Poels Wout,Team Sky,340,47,top-gc-riders,2016
Kelderman Wilco,Team LottoNL-Jumbo,323,50,top-gc-riders,2016
Bakelants Jan,AG2R La Mondiale,305,55,top-gc-riders,2016
Bárta Jan,Bora - Argon 18,276,64,top-gc-riders,2016
Fuglsang Jakob,Astana Pro Team,272,67,top-gc-riders,2016
Juul-Jensen Christopher,ORICA-BikeExchange,265,70,top-gc-riders,2016
Caruso Damiano,BMC Racing Team,254,77,top-gc-riders,2016
Barguil Warren,Team Giant - Alpecin,248,79,top-gc-riders,2016
Kangert Tanel,Astana Pro Team,245,82,top-gc-riders,2016
Sagan Peter,Tinkoff,245,81,top-gc-riders,2016
Izagirre Gorka,Movistar Team,244,83,top-gc-riders,2016
Gallopin Tony,Lotto Soudal,230,90,top-gc-riders,2016
Vuillermoz Alexis,AG2R La Mondiale,223,92,top-gc-riders,2016
Sepúlveda Eduardo,Fortuneo - Vital Concept,217,97,top-gc-riders,2016
Herrada Jesús,Movistar Team,198,107,top-gc-riders,2016
Yates Adam,ORICA-BikeExchange,195,108,top-gc-riders,2016
Gougeard Alexis,AG2R La Mondiale,189,111,top-gc-riders,2016
Coquard Bryan,Direct Energie,186,115,top-gc-riders,2016
Alaphilippe Julian,Etixx - Quick Step,185,116,top-gc-riders,2016
Cavendish Mark,Team Dimension Data,180,120,top-gc-riders,2016
Edet Nicolas,"Cofidis, Solutions Crédits",179,122,top-gc-riders,2016
Cherel Mikaël,AG2R La Mondiale,174,130,top-gc-riders,2016
Konrad Patrick,Bora - Argon 18,173,132,top-gc-riders,2016
Berhane Natnael,Team Dimension Data,169,137,top-gc-riders,2016
Sánchez Luis León,Astana Pro Team,166,139,top-gc-riders,2016
Rosa Diego,Astana Pro Team,165,142,top-gc-riders,2016
Degenkolb John,Team Giant - Alpecin,165,140,top-gc-riders,2016
van Baarle Dylan,Cannondale-Drapac Pro Cycling Team,161,149,top-gc-riders,2016
Impey Daryl,ORICA-BikeExchange,159,152,top-gc-riders,2016
Périchon Pierre-Luc,Fortuneo - Vital Concept,157,156,top-gc-riders,2016
Grmay Tsgabu,Lampre - Merida,155,162,top-gc-riders,2016
Hansen Adam,Lotto Soudal,142,180,top-gc-riders,2016
Naesen Oliver,IAM Cycling,142,179,top-gc-riders,2016
Theuns Edward,Trek - Segafredo,140,184,top-gc-riders,2016
Bodnar Maciej,Tinkoff,140,182,top-gc-riders,2016
Bennett George,Team LottoNL-Jumbo,137,187,top-gc-riders,2016
Haller Marco,Team Katusha ,130,200,top-gc-riders,2016
Anacona Winner,Movistar Team,121,211,top-gc-riders,2016
Reichenbach Sébastien,FDJ,119,217,top-gc-riders,2016
Durbridge Luke,ORICA-BikeExchange,110,234,top-gc-riders,2016
Debusschere Jens,Lotto Soudal,106,246,top-gc-riders,2016
Ladagnous Matthieu,FDJ,106,248,top-gc-riders,2016
Gautier Cyril,AG2R La Mondiale,100,261,top-gc-riders,2016
Oliveira Nelson,Movistar Team,100,260,top-gc-riders,2016
Hollenstein Reto,IAM Cycling,95,275,top-gc-riders,2016
Rowe Luke,Team Sky,95,274,top-gc-riders,2016
Lutsenko Alexey,Astana Pro Team,89,290,top-gc-riders,2016
Vermote Julien,Etixx - Quick Step,85,305,top-gc-riders,2016
Navarro Daniel,"Cofidis, Solutions Crédits",81,314,top-gc-riders,2016
Duchesne Antoine,Direct Energie,79,321,top-gc-riders,2016
Geschke Simon,Team Giant - Alpecin,78,328,top-gc-riders,2016
Vanmarcke Sep,Team LottoNL-Jumbo,71,351,top-gc-riders,2016
Maté Luis Ángel,"Cofidis, Solutions Crédits",67,373,top-gc-riders,2016
Delaplace Anthony,Fortuneo - Vital Concept,65,377,top-gc-riders,2016
Craddock Lawson,Cannondale-Drapac Pro Cycling Team,62,388,top-gc-riders,2016
Lindeman Bert-Jan,Team LottoNL-Jumbo,60,405,top-gc-riders,2016
Janse van Rensburg Reinardt,Team Dimension Data,59,406,top-gc-riders,2016
Polanc Jan,Lampre - Merida,57,418,top-gc-riders,2016
Erviti Imanol,Movistar Team,55,427,top-gc-riders,2016
Buchmann Emanuel,Bora - Argon 18,54,434,top-gc-riders,2016
Valgren Michael,Tinkoff,53,442,top-gc-riders,2016
Laporte Christophe,"Cofidis, Solutions Crédits",51,455,top-gc-riders,2016
Stuyven Jasper,Trek - Segafredo,47,483,top-gc-riders,2016
Richeze Maximiliano,Etixx - Quick Step,45,492,top-gc-riders,2016
Roosen Timo,Team LottoNL-Jumbo,44,501,top-gc-riders,2016
Schär Michael,BMC Racing Team,41,524,top-gc-riders,2016
Koren Kristijan,Cannondale-Drapac Pro Cycling Team,41,521,top-gc-riders,2016
Keisse Iljo,Etixx - Quick Step,40,533,top-gc-riders,2016
De Gendt Thomas,Lotto Soudal,40,534,top-gc-riders,2016
Cimolai Davide,Lampre - Merida,35,600,top-gc-riders,2016
Guarnieri Jacopo,Team Katusha ,35,599,top-gc-riders,2016
Matthews Michael,ORICA-BikeExchange,30,673,top-gc-riders,2016
Teklehaimanot Daniel,Team Dimension Data,30,655,top-gc-riders,2016
Arashiro Yukiya,Lampre - Merida,30,656,top-gc-riders,2016
Soupe Geoffrey,"Cofidis, Solutions Crédits",30,642,top-gc-riders,2016
Roux Anthony,FDJ,25,743,top-gc-riders,2016
Howes Alex,Cannondale-Drapac Pro Cycling Team,25,740,top-gc-riders,2016
Lemoine Cyril,"Cofidis, Solutions Crédits",25,741,top-gc-riders,2016
Langeveld Sebastian,Cannondale-Drapac Pro Cycling Team,24,771,top-gc-riders,2016
Mørkøv Michael,Team Katusha ,21,799,top-gc-riders,2016
