name,team,points,ranking,type,year
Quintana Nairo,Movistar Team,1200,1,top-gc-riders,2016
Froome Chris,Team Sky,1015,3,top-gc-riders,2016
Valverde Alejandro,Movistar Team,980,5,top-gc-riders,2016
Hermans Ben,BMC Racing Team,463,22,top-gc-riders,2016
Gesink Robert,Team LottoNL-Jumbo,450,24,top-gc-riders,2016
Chaves Esteban,ORICA-BikeExchange,433,28,top-gc-riders,2016
Kruijswijk Steven,Team LottoNL-Jumbo,416,30,top-gc-riders,2016
Gilbert Philippe,BMC Racing Team,391,33,top-gc-riders,2016
Yates Simon,ORICA-BikeExchange,381,35,top-gc-riders,2016
Meintjes Louis,Lampre - Merida,372,36,top-gc-riders,2016
Kwiatkowski Michał,Team Sky,355,40,top-gc-riders,2016
Rolland Pierre,Cannondale-Drapac Pro Cycling Team,352,41,top-gc-riders,2016
Taaramäe Rein,Team Katusha ,344,45,top-gc-riders,2016
Machado Tiago,Team Katusha ,333,49,top-gc-riders,2016
Bakelants Jan,AG2R La Mondiale,305,55,top-gc-riders,2016
Terpstra Niki,Etixx - Quick Step,305,54,top-gc-riders,2016
Dombrowski Joe,Cannondale-Drapac Pro Cycling Team,286,59,top-gc-riders,2016
Atapuma Darwin,BMC Racing Team,276,63,top-gc-riders,2016
Latour Pierre,AG2R La Mondiale,272,66,top-gc-riders,2016
Fernández Rubén,Movistar Team,266,69,top-gc-riders,2016
Lampaert Yves,Etixx - Quick Step,249,78,top-gc-riders,2016
Barguil Warren,Team Giant - Alpecin,248,79,top-gc-riders,2016
Felline Fabio,Trek - Segafredo,235,87,top-gc-riders,2016
Brambilla Gianluca,Etixx - Quick Step,215,98,top-gc-riders,2016
Castroviejo Jonathan,Movistar Team,207,101,top-gc-riders,2016
López Miguel Ángel,Astana Pro Team,200,105,top-gc-riders,2016
Boaro Manuele,Tinkoff,190,110,top-gc-riders,2016
Molard Rudy,"Cofidis, Solutions Crédits",186,113,top-gc-riders,2016
Formolo Davide,Cannondale-Drapac Pro Cycling Team,183,117,top-gc-riders,2016
Mendes José,Bora - Argon 18,182,118,top-gc-riders,2016
Campenaerts Victor,Team LottoNL-Jumbo,181,119,top-gc-riders,2016
Bevin Patrick,Cannondale-Drapac Pro Cycling Team,176,123,top-gc-riders,2016
Sánchez Luis León,Astana Pro Team,166,139,top-gc-riders,2016
Zeits Andrey,Astana Pro Team,163,146,top-gc-riders,2016
Štybar Zdeněk,Etixx - Quick Step,162,147,top-gc-riders,2016
Cataldo Dario,Astana Pro Team,160,151,top-gc-riders,2016
Grmay Tsgabu,Lampre - Merida,155,162,top-gc-riders,2016
Dillier Silvan,BMC Racing Team,150,166,top-gc-riders,2016
Teuns Dylan,BMC Racing Team,150,168,top-gc-riders,2016
Rossetto Stéphane,"Cofidis, Solutions Crédits",147,173,top-gc-riders,2016
Zoidl Riccardo,Trek - Segafredo,146,174,top-gc-riders,2016
Hansen Adam,Lotto Soudal,142,180,top-gc-riders,2016
Elissonde Kenny,FDJ,142,178,top-gc-riders,2016
Bennett George,Team LottoNL-Jumbo,137,187,top-gc-riders,2016
Bilbao Pello,Caja Rural - Seguros RGA,137,189,top-gc-riders,2016
Bouet Maxime,Etixx - Quick Step,128,202,top-gc-riders,2016
Laengen Vegard Stake,IAM Cycling,115,225,top-gc-riders,2016
Warbasse Larry,IAM Cycling,113,229,top-gc-riders,2016
Wallays Jelle,Lotto Soudal,109,237,top-gc-riders,2016
Eiking Odd Christian,FDJ,106,251,top-gc-riders,2016
Ladagnous Matthieu,FDJ,106,248,top-gc-riders,2016
Bernard Julien,Trek - Segafredo,100,259,top-gc-riders,2016
Serry Pieter,Etixx - Quick Step,98,269,top-gc-riders,2016
de la Cruz David,Etixx - Quick Step,97,270,top-gc-riders,2016
Arndt Nikias,Team Giant - Alpecin,86,299,top-gc-riders,2016
Sbaragli Kristian,Team Dimension Data,84,309,top-gc-riders,2016
Kochetkov Pavel,Team Katusha ,78,329,top-gc-riders,2016
Puccio Salvatore,Team Sky,75,335,top-gc-riders,2016
Villella Davide,Cannondale-Drapac Pro Cycling Team,74,342,top-gc-riders,2016
Gruzdev Dmitriy,Astana Pro Team,72,350,top-gc-riders,2016
Fraile Omar,Team Dimension Data,71,352,top-gc-riders,2016
Conti Valerio,Lampre - Merida,71,356,top-gc-riders,2016
Carthy Hugh,Caja Rural - Seguros RGA,71,358,top-gc-riders,2016
Clarke Simon,Cannondale-Drapac Pro Cycling Team,71,357,top-gc-riders,2016
Gonçalves José,Caja Rural - Seguros RGA,70,360,top-gc-riders,2016
van Emden Jos,Team LottoNL-Jumbo,69,365,top-gc-riders,2016
Maté Luis Ángel,"Cofidis, Solutions Crédits",67,373,top-gc-riders,2016
Bystrøm Sven Erik,Team Katusha ,63,385,top-gc-riders,2016
Le Bon Johan,FDJ,62,390,top-gc-riders,2016
Devenyns Dries,IAM Cycling,62,386,top-gc-riders,2016
Howson Damien,ORICA-BikeExchange,58,415,top-gc-riders,2016
Erviti Imanol,Movistar Team,55,427,top-gc-riders,2016
Rojas José Joaquín,Movistar Team,53,446,top-gc-riders,2016
Cort Magnus,ORICA-BikeExchange,53,444,top-gc-riders,2016
Madrazo Ángel,Caja Rural - Seguros RGA,52,453,top-gc-riders,2016
Mühlberger Gregor,Bora - Argon 18,50,467,top-gc-riders,2016
Mas Lluís,Caja Rural - Seguros RGA,47,484,top-gc-riders,2016
Haig Jack,ORICA-BikeExchange,46,488,top-gc-riders,2016
Battaglin Enrico,Team LottoNL-Jumbo,45,489,top-gc-riders,2016
King Ben,Cannondale-Drapac Pro Cycling Team,44,505,top-gc-riders,2016
Herrada José,Movistar Team,42,513,top-gc-riders,2016
Haga Chad,Team Giant - Alpecin,42,517,top-gc-riders,2016
Vanbilsen Kenneth,"Cofidis, Solutions Crédits",41,523,top-gc-riders,2016
Ludvigsson Tobias,Team Giant - Alpecin,40,543,top-gc-riders,2016
Armée Sander,Lotto Soudal,40,542,top-gc-riders,2016
De Gendt Thomas,Lotto Soudal,40,534,top-gc-riders,2016
Van der Sande Tosh,Lotto Soudal,36,564,top-gc-riders,2016
Calmejane Lilian,Direct Energie,36,571,top-gc-riders,2016
Kudus Merhawi,Team Dimension Data,36,574,top-gc-riders,2016
Bewley Sam,ORICA-BikeExchange,35,602,top-gc-riders,2016
Sénéchal Florian,"Cofidis, Solutions Crédits",35,585,top-gc-riders,2016
Pichon Laurent,FDJ,31,638,top-gc-riders,2016
Keukeleire Jens,ORICA-BikeExchange,30,661,top-gc-riders,2016
Arashiro Yukiya,Lampre - Merida,30,656,top-gc-riders,2016
Cardis Romain,Direct Energie,26,705,top-gc-riders,2016
Hurel Tony,Direct Energie,25,756,top-gc-riders,2016
Rovny Ivan,Tinkoff,25,749,top-gc-riders,2016
Pellaud Simon,IAM Cycling,20,829,top-gc-riders,2016
Prades Eduard,Caja Rural - Seguros RGA,15,904,top-gc-riders,2016
Schwarzmann Michael,Bora - Argon 18,12,970,top-gc-riders,2016
Jauregui Quentin,AG2R La Mondiale,12,989,top-gc-riders,2016
Drucker Jempy,BMC Racing Team,502.8,32,top-sprinters,2016
Sbaragli Kristian,Team Dimension Data,483.8,36,top-sprinters,2016
