,index,21-stage,21-gc,21-points,21-youth,21-kom,team,21-teams,year
0,Van Aert Wout,1,19,5,4,,Team Jumbo-Visma,3,2021
1,Philipsen Jasper,2,109,4,,20,Alpecin-Fenix,20,2021
2,Cavendish Mark,3,139,1,,,Deceuninck - Quick Step,11,2021
3,Mezgec Luka,4,102,12,,,Team BikeExchange,16,2021
4,Greipel André,5,125,15,,,Israel Start-Up Nation,19,2021
5,Van Poppel Danny,6,120,28,49,,Intermarché - Wanty - Gobert Matériaux,15,2021
6,Matthews Michael,7,79,2,52,,Team BikeExchange,16,2021
7,Aranburu Alex,8,74,31,,,Astana - Premier Tech,8,2021
8,Barthe Cyril,9,88,50,,15,B&B Hotels p/b KTM,12,2021
9,Walscheid Max,10,121,62,,,Team Qhubeka NextHash,21,2021
10,Oss Daniel,11,115,85,,,BORA - hansgrohe,6,2021
11,García Cortina Iván,12,94,51,,,Movistar Team,9,2021
12,Colbrelli Sonny,13,52,3,29,,Bahrain - Victorious,1,2021
13,Dillier Silvan,14,59,90,,,Alpecin-Fenix,20,2021
14,Cort Magnus,15,56,33,,,EF Education - Nippo,2,2021
15,Pöstlberger Lukas,16,116,75,53,,BORA - hansgrohe,6,2021
16,Perez Anthony,17,86,34,10,,Cofidis,14,2021
17,Pedersen Mads,18,137,87,,,Trek - Segafredo,7,2021
18,Swift Connor,19,89,60,,,Team Arkéa Samsic,18,2021
19,Arcas Jorge,20,90,,,,Movistar Team,9,2021
20,Bol Cees,21,140,38,,,Team DSM,22,2021
21,Teunissen Mike,22,76,80,,,Team Jumbo-Visma,3,2021
22,Zabel Rick,23,134,113,,,Israel Start-Up Nation,19,2021
23,Simon Julien,24,129,,,,TotalEnergies,17,2021
24,Eekhoff Nils,25,126,115,,25,Team DSM,22,2021
25,Gesbert Élie,26,61,61,,,Team Arkéa Samsic,18,2021
26,Schär Michael,27,58,88,,,AG2R Citroën Team,5,2021
27,Sbaragli Kristian,28,106,98,36,,Alpecin-Fenix,20,2021
28,Boivin Guillaume,29,105,,,,Israel Start-Up Nation,19,2021
29,Godon Dorian,30,75,59,23,12,AG2R Citroën Team,5,2021
30,Politt Nils,31,50,13,46,,BORA - hansgrohe,6,2021
31,O'connor Ben,32,4,42,7,,AG2R Citroën Team,5,2021
32,Kelderman Wilco,33,5,23,24,,BORA - hansgrohe,6,2021
33,Van Baarle Dylan,34,54,109,,,INEOS Grenadiers,4,2021
34,Madouas Valentin,35,42,93,50,6,Groupama - FDJ,13,2021
35,Kuss Sepp,36,32,48,14,,Team Jumbo-Visma,3,2021
36,Laporte Christophe,37,91,29,,,Cofidis,14,2021
37,Haller Marco,38,127,120,,,Bahrain - Victorious,1,2021
38,Stuyven Jasper,39,39,44,40,,Trek - Segafredo,7,2021
39,Bakelants Jan,40,48,45,31,,Intermarché - Wanty - Gobert Matériaux,15,2021
40,Rickaert Jonas,41,95,69,,,Alpecin-Fenix,20,2021
41,Mørkøv Michael,42,138,9,,,Deceuninck - Quick Step,11,2021
42,Wright Fred,43,96,63,,17,Bahrain - Victorious,1,2021
