team,strength,year
Bardiani - CSF,86,2017
CCC Sprandi Polkowice,81,2017
Wilier Triestina - Selle Italia,75,2017
Gazprom-RusVelo,74,2017
UAE Team Emirates,56,2017
Team Sunweb,56,2017
BMC Racing Team,56,2017
Movistar Team,54,2017
FDJ,53,2017
Bahrain Merida Pro Cycling Team,53,2017
Cannondale-Drapac Pro Cycling Team,51,2017
Team Dimension Data,51,2017
Lotto Soudal,51,2017
Team LottoNL-Jumbo,49,2017
ORICA-Scott,46,2017
Trek - Segafredo,44,2017
Team Katusha Alpecin,42,2017
BORA - hansgrohe,42,2017
Team Sky,40,2017
Astana Pro Team,33,2017
AG2R La Mondiale,32,2017
Quick-Step Floors,30,2017
Bardiani - CSF,100,2018
Androni Giocattoli - Sidermec,92,2018
Wilier Triestina - Selle Italia,81,2018
Israel Cycling Academy,66,2018
UAE Team Emirates,60,2018
Team Sky,60,2018
Astana Pro Team,58,2018
Mitchelton-Scott,55,2018
Lotto Fix All,53,2018
Bahrain Merida Pro Cycling Team,51,2018
BORA - hansgrohe,51,2018
Team Sunweb,47,2018
Team Katusha Alpecin,47,2018
Team EF Education First-Drapac p/b Cannondale,47,2018
Trek - Segafredo,47,2018
Team LottoNL-Jumbo,45,2018
Quick-Step Floors,43,2018
Groupama - FDJ,42,2018
Team Dimension Data,42,2018
BMC Racing Team,42,2018
Movistar Team,30,2018
AG2R La Mondiale,28,2018
Androni Giocattoli - Sidermec,92,2019
Nippo Vini Fantini Faizanè,91,2019
Bardiani - CSF,66,2019
Israel Cycling Academy,58,2019
Team Katusha Alpecin,58,2019
UAE Team Emirates,57,2019
Team Sunweb,57,2019
Lotto Soudal,57,2019
Team Dimension Data,57,2019
Trek - Segafredo,55,2019
Groupama - FDJ,55,2019
Astana Pro Team,53,2019
Mitchelton-Scott,53,2019
Deceuninck - Quick Step,53,2019
Team Jumbo-Visma,47,2019
Bahrain Merida,45,2019
BORA - hansgrohe,42,2019
Movistar Team,42,2019
CCC Team,36,2019
AG2R La Mondiale,36,2019
EF Education First,36,2019
Team INEOS,28,2019
Vini Zabù - KTM,74,2020
Astana Pro Team,68,2020
Bardiani-CSF-Faizanè,64,2020
Mitchelton-Scott,57,2020
CCC Team,57,2020
UAE Team Emirates,53,2020
Androni Giocattoli - Sidermec,53,2020
Team Sunweb,51,2020
Cofidis,49,2020
INEOS Grenadiers,47,2020
BORA - hansgrohe,45,2020
Israel Start-Up Nation,40,2020
Movistar Team,38,2020
Trek - Segafredo,38,2020
Lotto Soudal,36,2020
Bahrain - McLaren,36,2020
Deceuninck - Quick Step,36,2020
NTT Pro Cycling,36,2020
AG2R La Mondiale,34,2020
Groupama - FDJ,34,2020
EF Pro Cycling,30,2020
Team Jumbo-Visma,28,2020
Bardiani-CSF-Faizanè,89,2021
Androni Giocattoli - Sidermec,85,2021
Bahrain - Victorious,77,2021
Team Qhubeka ASSOS,75,2021
Trek - Segafredo,70,2021
EF Education - Nippo,66,2021
EOLO-Kometa,66,2021
Alpecin-Fenix,60,2021
Team DSM,58,2021
Astana - Premier Tech,57,2021
Lotto Soudal,53,2021
Movistar Team,47,2021
Israel Start-Up Nation,47,2021
INEOS Grenadiers,45,2021
Cofidis,45,2021
BORA - hansgrohe,45,2021
Deceuninck - Quick Step,43,2021
UAE Team Emirates,42,2021
Intermarché - Wanty - Gobert Matériaux,42,2021
Team BikeExchange,40,2021
AG2R Citroën Team,38,2021
Groupama - FDJ,38,2021
Team Jumbo-Visma,32,2021
