team,team_class,team_points,year
Movistar Team,WT,5145,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
