team,team_class,team_points,year,race
Team Sky,WT,5183,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Bahrain Merida Pro Cycling Team,WT,2741,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Bahrain Merida Pro Cycling Team,WT,2741,2018,giro-d-italia
Lotto Fix All,WT,2704,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Bahrain Merida Pro Cycling Team,WT,2741,2018,giro-d-italia
Lotto Fix All,WT,2704,2018,giro-d-italia
BORA - hansgrohe,WT,2357,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Bahrain Merida Pro Cycling Team,WT,2741,2018,giro-d-italia
Lotto Fix All,WT,2704,2018,giro-d-italia
BORA - hansgrohe,WT,2357,2018,giro-d-italia
Team LottoNL-Jumbo,WT,2194,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Bahrain Merida Pro Cycling Team,WT,2741,2018,giro-d-italia
Lotto Fix All,WT,2704,2018,giro-d-italia
BORA - hansgrohe,WT,2357,2018,giro-d-italia
Team LottoNL-Jumbo,WT,2194,2018,giro-d-italia
Androni Giocattoli - Sidermec,PCT,2193,2018,giro-d-italia
Team Sky,WT,5183,2018,giro-d-italia
UAE Team Emirates,WT,4120,2018,giro-d-italia
BMC Racing Team,WT,3220,2018,giro-d-italia
Team Sunweb,WT,3145,2018,giro-d-italia
Mitchelton-Scott,WT,3017,2018,giro-d-italia
Quick-Step Floors,WT,2861,2018,giro-d-italia
Astana Pro Team,WT,2857,2018,giro-d-italia
Bahrain Merida Pro Cycling Team,WT,2741,2018,giro-d-italia
Lotto Fix All,WT,2704,2018,giro-d-italia
