team,team_class,team_points,year,race
Team Sky,WT,7664,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Katusha Alpecin,WT,3914,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Katusha Alpecin,WT,3914,2018,tour-de-france
Astana Pro Team,WT,3128,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Katusha Alpecin,WT,3914,2018,tour-de-france
Astana Pro Team,WT,3128,2018,tour-de-france
Mitchelton-Scott,WT,2904,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Katusha Alpecin,WT,3914,2018,tour-de-france
Astana Pro Team,WT,3128,2018,tour-de-france
Mitchelton-Scott,WT,2904,2018,tour-de-france
Team EF Education First-Drapac p/b Cannondale,WT,2835,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Katusha Alpecin,WT,3914,2018,tour-de-france
Astana Pro Team,WT,3128,2018,tour-de-france
Mitchelton-Scott,WT,2904,2018,tour-de-france
Team EF Education First-Drapac p/b Cannondale,WT,2835,2018,tour-de-france
Groupama - FDJ,WT,2825,2018,tour-de-france
Team Sky,WT,7664,2018,tour-de-france
BMC Racing Team,WT,6402,2018,tour-de-france
Movistar Team,WT,6100,2018,tour-de-france
Quick-Step Floors,WT,6063,2018,tour-de-france
Team Sunweb,WT,5709,2018,tour-de-france
Bahrain Merida Pro Cycling Team,WT,5623,2018,tour-de-france
AG2R La Mondiale,WT,5456,2018,tour-de-france
BORA - hansgrohe,WT,4774,2018,tour-de-france
UAE Team Emirates,WT,4547,2018,tour-de-france
Team LottoNL-Jumbo,WT,4484,2018,tour-de-france
Lotto Soudal,WT,4302,2018,tour-de-france
Trek - Segafredo,WT,4109,2018,tour-de-france
Team Katusha Alpecin,WT,3914,2018,tour-de-france
Astana Pro Team,WT,3128,2018,tour-de-france
Mitchelton-Scott,WT,2904,2018,tour-de-france
