team,team_class,team_points,year,race
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
UAE Team Emirates,WT,4088,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
UAE Team Emirates,WT,4088,2018,vuelta-a-espana
Bahrain Merida Pro Cycling Team,WT,3770,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
UAE Team Emirates,WT,4088,2018,vuelta-a-espana
Bahrain Merida Pro Cycling Team,WT,3770,2018,vuelta-a-espana
Team EF Education First-Drapac p/b Cannondale,WT,3428,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
UAE Team Emirates,WT,4088,2018,vuelta-a-espana
Bahrain Merida Pro Cycling Team,WT,3770,2018,vuelta-a-espana
Team EF Education First-Drapac p/b Cannondale,WT,3428,2018,vuelta-a-espana
Trek - Segafredo,WT,2686,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
UAE Team Emirates,WT,4088,2018,vuelta-a-espana
Bahrain Merida Pro Cycling Team,WT,3770,2018,vuelta-a-espana
Team EF Education First-Drapac p/b Cannondale,WT,3428,2018,vuelta-a-espana
Trek - Segafredo,WT,2686,2018,vuelta-a-espana
Lotto Soudal,WT,2551,2018,vuelta-a-espana
Mitchelton-Scott,WT,5228,2018,vuelta-a-espana
BORA - hansgrohe,WT,5192,2018,vuelta-a-espana
BMC Racing Team,WT,4752,2018,vuelta-a-espana
Team Sky,WT,4553,2018,vuelta-a-espana
Movistar Team,WT,4514,2018,vuelta-a-espana
UAE Team Emirates,WT,4088,2018,vuelta-a-espana
