,key,Parcours type:,ProfileScore:,Race ranking:,Vert. meters:,year,day
0,2016-1,1,0,20,37,2016,1
1,2016-10,5,261,20,4618,2016,10
2,2016-11,2,61,20,777,2016,11
3,2016-12,1,0,20,122,2016,12
4,2016-13,4,250,20,3669,2016,13
5,2016-14,4,361,20,6001,2016,14
6,2016-15,5,152,20,785,2016,15
7,2016-16,4,236,20,2737,2016,16
8,2016-17,2,35,20,1567,2016,17
9,2016-18,2,139,20,1637,2016,18
10,2016-19,5,315,20,3905,2016,19
11,2016-2,1,15,20,732,2016,2
12,2016-20,5,344,20,4500,2016,20
13,2016-21,1,32,20,879,2016,21
14,2016-3,1,6,20,691,2016,3
15,2016-4,2,121,20,2418,2016,4
16,2016-5,3,105,20,3459,2016,5
17,2016-6,5,233,20,3749,2016,6
18,2016-7,2,67,20,2301,2016,7
19,2016-8,3,112,20,1985,2016,8
20,2016-9,2,34,20,561,2016,9
21,2017-1,2,51,23,2176,2017,1
22,2017-10,2,35,23,505,2017,10
23,2017-11,4,183,23,3912,2017,11
24,2017-12,2,50,23,2407,2017,12
25,2017-13,1,0,23,399,2017,13
26,2017-14,5,129,23,1106,2017,14
27,2017-15,2,129,23,2255,2017,15
28,2017-16,4,329,23,5845,2017,16
29,2017-17,4,166,23,4576,2017,17
30,2017-18,5,281,23,3961,2017,18
31,2017-19,5,250,23,3551,2017,19
32,2017-2,2,91,23,3518,2017,2
33,2017-20,4,227,23,3721,2017,20
34,2017-21,1,0,23,25,2017,21
35,2017-3,1,41,23,1441,2017,3
36,2017-4,5,298,23,4170,2017,4
37,2017-5,2,43,23,1780,2017,5
38,2017-6,2,72,23,2247,2017,6
39,2017-7,2,27,23,1340,2017,7
40,2017-8,2,110,23,2127,2017,8
41,2017-9,5,308,23,2921,2017,9
42,2018-1,3,9,19,155,2018,1
43,2018-10,2,118,19,4133,2018,10
44,2018-11,3,95,19,2027,2018,11
45,2018-12,2,29,19,874,2018,12
46,2018-13,2,10,19,429,2018,13
47,2018-14,5,473,19,4477,2018,14
48,2018-15,4,264,19,4112,2018,15
49,2018-16,1,9,19,223,2018,16
50,2018-17,2,55,19,2040,2018,17
51,2018-18,5,185,19,2314,2018,18
52,2018-19,5,313,19,5216,2018,19
53,2018-2,2,9,19,988,2018,2
54,2018-20,5,351,19,4254,2018,20
55,2018-21,1,20,19,897,2018,21
56,2018-3,2,16,19,1771,2018,3
57,2018-4,3,111,19,3428,2018,4
58,2018-5,3,97,19,2237,2018,5
59,2018-6,5,241,19,3307,2018,6
60,2018-7,1,29,19,1023,2018,7
61,2018-8,5,171,19,3248,2018,8
62,2018-9,5,240,19,4034,2018,9
63,2019-1,3,39,15,291,2019,1
64,2019-10,1,1,15,160,2019,10
65,2019-11,1,0,15,476,2019,11
66,2019-12,4,131,15,1918,2019,12
67,2019-13,5,377,15,5187,2019,13
68,2019-14,4,330,15,4187,2019,14
69,2019-15,3,214,15,3122,2019,15
70,2019-16,4,334,15,5207,2019,16
71,2019-17,5,221,15,3482,2019,17
72,2019-18,2,20,15,1478,2019,18
73,2019-19,5,215,15,3169,2019,19
74,2019-2,2,69,15,2242,2019,2
75,2019-20,5,371,15,5754,2019,20
76,2019-21,2,23,15,297,2019,21
77,2019-3,2,31,15,1790,2019,3
78,2019-4,3,80,15,2995,2019,4
79,2019-5,2,88,15,2056,2019,5
80,2019-6,2,99,15,2881,2019,6
81,2019-7,2,101,15,2626,2019,7
82,2019-8,2,75,15,1998,2019,8
83,2019-9,3,83,15,723,2019,9
84,2020-1,1,6,11,74,2020,1
85,2020-10,2,134,11,2057,2020,10
86,2020-11,2,50,11,1197,2020,11
87,2020-12,2,164,11,3815,2020,12
88,2020-13,1,86,11,827,2020,13
89,2020-14,1,63,11,716,2020,14
90,2020-15,5,347,11,4515,2020,15
91,2020-16,3,238,11,4056,2020,16
92,2020-17,5,316,11,5650,2020,17
93,2020-18,4,400,11,5848,2020,18
94,2020-19,1,11,11,406,2020,19
95,2020-2,3,92,11,2359,2020,2
96,2020-20,5,262,11,3716,2020,20
97,2020-21,1,0,11,3,2020,21
98,2020-3,5,293,11,3516,2020,3
99,2020-4,4,45,11,1791,2020,4
100,2020-5,4,216,11,4691,2020,5
101,2020-6,2,107,11,2821,2020,6
102,2020-7,1,5,11,450,2020,7
103,2020-8,2,116,11,2197,2020,8
104,2020-9,5,222,11,4544,2020,9
105,2021-1,1,1,12,48,2021,1
106,2021-10,2,60,12,1460,2021,10
107,2021-11,2,174,12,2364,2021,11
108,2021-12,4,223,12,4433,2021,12
109,2021-13,1,0,12,199,2021,13
110,2021-14,5,341,12,3580,2021,14
111,2021-15,2,106,12,1682,2021,15
112,2021-16,4,295,12,3942,2021,16
113,2021-17,5,408,12,3703,2021,17
114,2021-18,2,74,12,1398,2021,18
115,2021-19,5,292,12,2811,2021,19
116,2021-2,1,9,12,707,2021,2
117,2021-20,5,305,12,3867,2021,20
118,2021-21,1,0,12,24,2021,21
119,2021-3,2,103,12,1870,2021,3
120,2021-4,2,252,12,3138,2021,4
121,2021-5,1,0,12,363,2021,5
122,2021-6,5,221,12,3595,2021,6
123,2021-7,3,37,12,1725,2021,7
124,2021-8,3,133,12,3085,2021,8
125,2021-9,3,196,12,3503,2021,9
126,2022-1,0,51,13,1390,2022,1
127,2022-10,0,89,13,1770,2022,10
128,2022-11,0,0,13,388,2022,11
129,2022-12,0,170,13,3073,2022,12
130,2022-13,0,48,13,1845,2022,13
131,2022-14,0,257,13,3527,2022,14
132,2022-15,0,311,13,4188,2022,15
133,2022-16,0,377,13,5268,2022,16
134,2022-17,0,348,13,3946,2022,17
135,2022-18,0,35,13,1014,2022,18
136,2022-19,0,258,13,3426,2022,19
137,2022-2,0,8,13,81,2022,2
138,2022-20,0,395,13,4731,2022,20
139,2022-21,0,30,13,321,2022,21
140,2022-3,0,10,13,1155,2022,3
141,2022-4,0,254,13,3603,2022,4
142,2022-5,0,32,13,1956,2022,5
143,2022-6,0,55,13,1596,2022,6
144,2022-7,0,239,13,4724,2022,7
145,2022-8,0,107,13,2240,2022,8
146,2022-9,0,443,13,4911,2022,9
