,rider,team,year,age,race,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target,strength,finished
1073,Dupont Hubert,AG2R La Mondiale,2019,,,1486.0,Dupont Hubert-2019,14.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,66.0,42.0,36.0,0.9166666666666666
320,Pellizotti Franco,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Pellizotti Franco-2017,83.0,,,54.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,42.0,53.0,0.8181818181818182
460,Dupont Hubert,AG2R La Mondiale,2017,,,1603.0,Dupont Hubert-2017,,,38.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,66.0,42.0,32.0,0.8181818181818182
448,Tiralongo Paolo,Astana Pro Team,2017,,,1765.0,Tiralongo Paolo-2017,10.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,33.0,0.8181818181818182
1677,Pozzovivo Domenico,Team Qhubeka ASSOS,2021,,,1654.0,Pozzovivo Domenico-2021,,193.0,,22.0,2.8095238095238093,153.8095238095238,2261.7619047619046,138.0,340.0,75.0,0.7142857142857143
1283,Pozzovivo Domenico,NTT Pro Cycling,2020,37.0,tour-de-france,466.0,Pozzovivo Domenico-2020,,394.0,,18.0,2.8095238095238093,151.0952380952381,2630.904761904762,138.0,340.0,36.0,0.6923076923076923
1318,Hansen Adam,Lotto Soudal,2020,,,495.0,Hansen Adam-2020,11.0,41.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,85.0,36.0,36.0,0.6923076923076923
1101,Montaguti Matteo,Androni Giocattoli - Sidermec,2019,,,2502.0,Montaguti Matteo-2019,25.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,72.0,42.0,92.0,0.6666666666666666
1058,Capecchi Eros,Deceuninck - Quick Step,2019,,,4138.0,Capecchi Eros-2019,45.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,50.0,314.0,53.0,0.6666666666666666
1171,Hansen Adam,Lotto Soudal,2019,,,2095.0,Hansen Adam-2019,21.0,45.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,85.0,36.0,57.0,0.6666666666666666
978,Pozzovivo Domenico,Bahrain Merida,2019,,,2657.0,Pozzovivo Domenico-2019,368.0,540.0,57.5,50.0,2.9523809523809526,138.1904761904762,2478.0476190476193,138.0,340.0,45.0,0.6666666666666666
938,Zeits Andrey,Astana Pro Team,2019,,,4562.0,Zeits Andrey-2019,33.0,103.0,,20.0,2.9523809523809526,138.1904761904762,2478.0476190476193,52.0,0.0,53.0,0.6666666666666666
1604,Nibali Vincenzo,Trek - Segafredo,2021,36.0,tour-de-france,2367.0,Nibali Vincenzo-2021,306.0,376.0,33.0,14.0,2.8095238095238093,153.8095238095238,2261.7619047619046,480.0,502.0,70.0,0.6428571428571429
1665,Cataldo Dario,Movistar Team,2021,,,1241.0,Cataldo Dario-2021,33.0,48.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,108.0,47.0,0.6428571428571429
671,Pozzovivo Domenico,Bahrain Merida Pro Cycling Team,2018,35.0,tour-de-france,3094.0,Pozzovivo Domenico-2018,159.0,640.0,50.7,50.0,3.142857142857143,135.47619047619048,2437.4761904761904,138.0,340.0,51.0,0.6363636363636364
541,Pirazzi Stefano,Bardiani - CSF,2017,,,962.0,Pirazzi Stefano-2017,,153.0,37.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,31.0,0.0,86.0,0.6363636363636364
707,Zeits Andrey,Astana Pro Team,2018,,,3870.0,Zeits Andrey-2018,15.0,118.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,52.0,0.0,58.0,0.6363636363636364
678,Visconti Giovanni,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Visconti Giovanni-2018,205.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,186.0,94.0,51.0,0.6363636363636364
654,Hansen Adam,Lotto Fix All,2018,,,3137.0,Hansen Adam-2018,,81.0,,,3.142857142857143,135.47619047619048,2437.4761904761904,85.0,36.0,53.0,0.6363636363636364
656,Bak Lars Ytting,Lotto Fix All,2018,,,3137.0,Bak Lars Ytting-2018,33.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,85.0,36.0,53.0,0.6363636363636364
317,Visconti Giovanni,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Visconti Giovanni-2017,385.0,,104.8,68.0,2.9523809523809526,134.28571428571428,2570.6190476190477,186.0,94.0,53.0,0.6363636363636364
1267,Nibali Vincenzo,Trek - Segafredo,2020,,,1339.0,Nibali Vincenzo-2020,189.0,464.0,,290.0,2.8095238095238093,151.0952380952381,2630.904761904762,480.0,502.0,38.0,0.6153846153846154
1476,Visconti Giovanni,Vini Zabù - KTM,2020,,,581.0,Visconti Giovanni-2020,381.0,,51.0,,2.8095238095238093,151.0952380952381,2630.904761904762,186.0,94.0,74.0,0.6153846153846154
1452,Cataldo Dario,Movistar Team,2020,35.0,tour-de-france,365.0,Cataldo Dario-2020,19.0,100.0,,19.0,2.8095238095238093,151.0952380952381,2630.904761904762,,108.0,38.0,0.6153846153846154
980,Nibali Vincenzo,Bahrain Merida,2019,34.0,tour-de-france,2657.0,Nibali Vincenzo-2019,563.0,124.0,49.4,26.0,2.9523809523809526,138.1904761904762,2478.0476190476193,480.0,502.0,45.0,0.5833333333333334
940,Cataldo Dario,Astana Pro Team,2019,,,4562.0,Cataldo Dario-2019,58.0,88.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,108.0,53.0,0.5833333333333334
1791,Visconti Giovanni,Bardiani-CSF-Faizanè,2021,,,644.0,Visconti Giovanni-2021,90.0,,41.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,186.0,94.0,89.0,0.5714285714285714
446,Zeits Andrey,Astana Pro Team,2017,30.0,tour-de-france,1765.0,Zeits Andrey-2017,100.0,100.0,,10.0,2.9523809523809526,134.28571428571428,2570.6190476190477,52.0,0.0,33.0,0.5454545454545454
432,Capecchi Eros,Quick-Step Floors,2017,,,3229.0,Capecchi Eros-2017,15.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,50.0,314.0,30.0,0.5454545454545454
693,Antón Igor,Team Dimension Data,2018,,,1425.0,Antón Igor-2018,17.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,13.0,43.0,42.0,0.5454545454545454
314,Nibali Vincenzo,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Nibali Vincenzo-2017,28.0,803.0,44.8,112.0,2.9523809523809526,134.28571428571428,2570.6190476190477,480.0,502.0,53.0,0.5454545454545454
677,Siutsou Kanstantsin,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Siutsou Kanstantsin-2018,,,,21.0,3.142857142857143,135.47619047619048,2437.4761904761904,127.0,42.0,51.0,0.5454545454545454
641,Tuft Svein,Mitchelton-Scott,2018,,,3123.0,Tuft Svein-2018,,,,46.0,3.142857142857143,135.47619047619048,2437.4761904761904,18.0,30.0,55.0,0.5454545454545454
461,Montaguti Matteo,AG2R La Mondiale,2017,,,1603.0,Montaguti Matteo-2017,84.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,72.0,42.0,32.0,0.5454545454545454
445,Cataldo Dario,Astana Pro Team,2017,32.0,tour-de-france,1765.0,Cataldo Dario-2017,23.0,112.0,,61.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,108.0,33.0,0.5454545454545454
549,Hansen Adam,Lotto Soudal,2017,36.0,tour-de-france,2722.0,Hansen Adam-2017,,145.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,85.0,36.0,51.0,0.5454545454545454
555,Bak Lars Ytting,Lotto Soudal,2017,37.0,tour-de-france,2722.0,Bak Lars Ytting-2017,35.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,85.0,36.0,51.0,0.5454545454545454
366,Ferrari Roberto,UAE Team Emirates,2017,,,2871.0,Ferrari Roberto-2017,72.0,,268.8,,2.9523809523809526,134.28571428571428,2570.6190476190477,22.0,184.0,56.0,0.5454545454545454
456,Pozzovivo Domenico,AG2R La Mondiale,2017,,,1603.0,Pozzovivo Domenico-2017,54.0,387.0,31.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,138.0,340.0,32.0,0.5454545454545454
595,Brutt Pavel,Gazprom-RusVelo,2017,,,876.0,Brutt Pavel-2017,48.0,,,45.0,2.9523809523809526,134.28571428571428,2570.6190476190477,16.0,14.0,74.0,0.5454545454545454
626,Kiryienka Vasil,Team Sky,2018,,,4577.0,Kiryienka Vasil-2018,77.0,,,704.0,3.142857142857143,135.47619047619048,2437.4761904761904,,117.0,60.0,0.5454545454545454
1198,Boaro Manuele,Astana Pro Team,2020,,,2840.0,Boaro Manuele-2020,14.0,48.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,32.0,10.0,68.0,0.5384615384615384
1788,Battaglin Enrico,Bardiani-CSF-Faizanè,2021,,,644.0,Battaglin Enrico-2021,67.0,23.0,87.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,111.0,158.0,89.0,0.5
1596,Puccio Salvatore,INEOS Grenadiers,2021,,,2917.0,Puccio Salvatore-2021,5.0,28.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,77.0,45.0,0.5
1137,Gasparotto Enrico,Team Dimension Data,2019,,,1705.0,Gasparotto Enrico-2019,306.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,10.0,57.0,0.5
941,Boaro Manuele,Astana Pro Team,2019,,,4562.0,Boaro Manuele-2019,,28.0,,10.0,2.9523809523809526,138.1904761904762,2478.0476190476193,32.0,10.0,53.0,0.5
966,Amador Andrey,Movistar Team,2019,32.0,tour-de-france,2153.0,Amador Andrey-2019,127.0,105.0,,107.0,2.9523809523809526,138.1904761904762,2478.0476190476193,326.0,160.0,42.0,0.5
1258,Puccio Salvatore,INEOS Grenadiers,2020,,,1676.0,Puccio Salvatore-2020,15.0,54.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,77.0,47.0,0.4615384615384615
1379,Battaglin Enrico,Bahrain - McLaren,2020,,,717.0,Battaglin Enrico-2020,39.0,55.0,72.2,,2.8095238095238093,151.0952380952381,2630.904761904762,111.0,158.0,36.0,0.4615384615384615
508,Kruijswijk Steven,Team LottoNL-Jumbo,2017,,,2117.0,Kruijswijk Steven-2017,21.0,258.0,,180.0,2.9523809523809526,134.28571428571428,2570.6190476190477,509.0,158.0,49.0,0.4545454545454545
318,Gasparotto Enrico,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Gasparotto Enrico-2017,442.0,,82.4,38.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,10.0,53.0,0.4545454545454545
583,Samoilau Branislau,CCC Sprandi Polkowice ,2017,,,1033.0,Samoilau Branislau-2017,,35.0,,71.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,2.0,,0.4545454545454545
512,Keizer Martijn,Team LottoNL-Jumbo,2017,,,2117.0,Keizer Martijn-2017,,,,190.0,2.9523809523809526,134.28571428571428,2570.6190476190477,77.0,10.0,49.0,0.4545454545454545
321,Siutsou Kanstantsin,Bahrain Merida Pro Cycling Team,2017,,,2364.0,Siutsou Kanstantsin-2017,57.0,,,50.0,2.9523809523809526,134.28571428571428,2570.6190476190477,127.0,42.0,53.0,0.4545454545454545
603,Antón Igor,Team Dimension Data,2017,,,2158.0,Antón Igor-2017,76.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,13.0,43.0,51.0,0.4545454545454545
674,Boaro Manuele,Bahrain Merida Pro Cycling Team,2018,,,3094.0,Boaro Manuele-2018,,45.0,,18.0,3.142857142857143,135.47619047619048,2437.4761904761904,32.0,10.0,51.0,0.4545454545454545
301,Amador Andrey,Movistar Team,2017,30.0,tour-de-france,3999.0,Amador Andrey-2017,37.0,180.0,85.0,202.0,2.9523809523809526,134.28571428571428,2570.6190476190477,326.0,160.0,54.0,0.4545454545454545
352,Kiryienka Vasil,Team Sky,2017,36.0,tour-de-france,2722.0,Kiryienka Vasil-2017,,,,436.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,117.0,40.0,0.4545454545454545
378,Nizzolo Giacomo,Trek - Segafredo,2017,,,2941.0,Nizzolo Giacomo-2017,713.0,140.0,1074.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,483.0,78.0,44.0,0.4545454545454545
397,Stamsnijder Tom,Team Sunweb,2017,,,2929.0,Stamsnijder Tom-2017,15.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,89.0,130.0,56.0,0.4545454545454545
532,Losada Alberto,Team Katusha Alpecin,2017,,,1844.0,Losada Alberto-2017,15.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,42.0,0.4545454545454545
413,Tuft Svein,ORICA-Scott,2017,,,3035.0,Tuft Svein-2017,,,,87.0,2.9523809523809526,134.28571428571428,2570.6190476190477,18.0,30.0,46.0,0.4545454545454545
898,Belkov Maxim,Team Katusha Alpecin,2018,,,1595.0,Belkov Maxim-2018,,,,25.0,3.142857142857143,135.47619047619048,2437.4761904761904,10.0,0.0,47.0,0.4545454545454545
1532,Kangert Tanel,Team BikeExchange,2021,,,1263.0,Kangert Tanel-2021,111.0,165.0,11.0,146.0,2.8095238095238093,153.8095238095238,2261.7619047619046,76.0,86.0,40.0,0.4285714285714285
1028,Puccio Salvatore,Team INEOS,2019,,,2042.0,Puccio Salvatore-2019,16.0,55.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,77.0,28.0,0.4166666666666667
1134,Nizzolo Giacomo,Team Dimension Data,2019,30.0,tour-de-france,1705.0,Nizzolo Giacomo-2019,210.0,23.0,676.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,483.0,78.0,57.0,0.4166666666666667
1122,Ventoso Francisco José,CCC Team,2019,,,1152.0,Ventoso Francisco José-2019,18.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,20.0,36.0,0.4166666666666667
1106,Battaglin Enrico,Team Katusha Alpecin,2019,,,1799.0,Battaglin Enrico-2019,95.0,39.0,221.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,111.0,158.0,58.0,0.4166666666666667
1085,Modolo Sacha,EF Education First,2019,,,1626.0,Modolo Sacha-2019,179.0,25.0,465.0,,2.9523809523809526,138.1904761904762,2478.0476190476193,339.0,160.0,36.0,0.4166666666666667
1333,Haga Chad,Team Sunweb,2020,,,1708.0,Haga Chad-2020,18.0,53.0,,333.0,2.8095238095238093,151.0952380952381,2630.904761904762,113.0,138.0,51.0,0.3846153846153846
1411,Gastauer Ben,AG2R La Mondiale,2020,,,735.0,Gastauer Ben-2020,,,,16.0,2.8095238095238093,151.0952380952381,2630.904761904762,,0.0,34.0,0.3846153846153846
1362,Kangert Tanel,EF Pro Cycling,2020,,,736.0,Kangert Tanel-2020,30.0,220.0,,288.0,2.8095238095238093,151.0952380952381,2630.904761904762,76.0,86.0,30.0,0.3846153846153846
1207,Kruijswijk Steven,Team Jumbo-Visma,2020,,,742.0,Kruijswijk Steven-2020,20.0,660.0,,252.0,2.8095238095238093,151.0952380952381,2630.904761904762,509.0,158.0,28.0,0.3846153846153846
624,Puccio Salvatore,Team Sky,2018,,,4577.0,Puccio Salvatore-2018,23.0,60.0,,13.0,3.142857142857143,135.47619047619048,2437.4761904761904,,77.0,60.0,0.3636363636363636
709,Kangert Tanel,Astana Pro Team,2018,31.0,tour-de-france,3870.0,Kangert Tanel-2018,,,,15.0,3.142857142857143,135.47619047619048,2437.4761904761904,76.0,86.0,58.0,0.3636363636363636
463,Bérard Julien,AG2R La Mondiale,2017,,,1603.0,Bérard Julien-2017,21.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,32.0,0.3636363636363636
442,Kangert Tanel,Astana Pro Team,2017,,,1765.0,Kangert Tanel-2017,176.0,418.0,,48.0,2.9523809523809526,134.28571428571428,2570.6190476190477,76.0,86.0,33.0,0.3636363636363636
364,Modolo Sacha,UAE Team Emirates,2017,,,2871.0,Modolo Sacha-2017,78.0,61.0,659.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,339.0,160.0,56.0,0.3636363636363636
530,Vicioso Ángel,Team Katusha Alpecin,2017,,,1844.0,Vicioso Ángel-2017,40.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,42.0,0.3636363636363636
479,Quinziato Manuel,BMC Racing Team,2017,,,3840.0,Quinziato Manuel-2017,29.0,,,104.0,2.9523809523809526,134.28571428571428,2570.6190476190477,0.0,60.0,56.0,0.3636363636363636
749,Battaglin Enrico,Team LottoNL-Jumbo,2018,,,2138.0,Battaglin Enrico-2018,122.0,39.0,159.2,,3.142857142857143,135.47619047619048,2437.4761904761904,111.0,158.0,45.0,0.3636363636363636
794,Modolo Sacha,Team EF Education First-Drapac p/b Cannondale,2018,,,1784.0,Modolo Sacha-2018,314.0,30.0,588.6,,3.142857142857143,135.47619047619048,2437.4761904761904,339.0,160.0,47.0,0.3636363636363636
336,Morabito Steve,FDJ,2017,,,1979.0,Morabito Steve-2017,17.0,,,42.0,2.9523809523809526,134.28571428571428,2570.6190476190477,,10.0,53.0,0.3636363636363636
875,Ventoso Francisco José,BMC Racing Team,2018,,,2887.0,Ventoso Francisco José-2018,47.0,,,,3.142857142857143,135.47619047619048,2437.4761904761904,,20.0,42.0,0.3636363636363636
