name,team,age,year
Albanese Vincenzo,Bardiani - CSF,20,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Rota Lorenzo,Bardiani - CSF,21,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Rota Lorenzo,Bardiani - CSF,21,2017
Rodríguez Cristián,Wilier Triestina - Selle Italia,22,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Rota Lorenzo,Bardiani - CSF,21,2017
Rodríguez Cristián,Wilier Triestina - Selle Italia,22,2017
Ciccone Giulio,Bardiani - CSF,22,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Rota Lorenzo,Bardiani - CSF,21,2017
Rodríguez Cristián,Wilier Triestina - Selle Italia,22,2017
Ciccone Giulio,Bardiani - CSF,22,2017
Mamykin Matvey,Team Katusha Alpecin,22,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Rota Lorenzo,Bardiani - CSF,21,2017
Rodríguez Cristián,Wilier Triestina - Selle Italia,22,2017
Ciccone Giulio,Bardiani - CSF,22,2017
Mamykin Matvey,Team Katusha Alpecin,22,2017
Mohorič Matej,UAE Team Emirates,22,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
Schlegel Michal,CCC Sprandi Polkowice ,21,2017
Rota Lorenzo,Bardiani - CSF,21,2017
Rodríguez Cristián,Wilier Triestina - Selle Italia,22,2017
Ciccone Giulio,Bardiani - CSF,22,2017
Mamykin Matvey,Team Katusha Alpecin,22,2017
Mohorič Matej,UAE Team Emirates,22,2017
Gaviria Fernando,Quick-Step Floors,22,2017
Albanese Vincenzo,Bardiani - CSF,20,2017
Martínez Daniel Felipe,Wilier Triestina - Selle Italia,21,2017
Pedersen Mads,Trek - Segafredo,21,2017
De Plus Laurens,Quick-Step Floors,21,2017
