name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Nibali Vincenzo,1,2,1,7,7,3843,2017
Pozzovivo Domenico,5,-,1,1,1,2226,2017
Pellizotti Franco,4,-,1,2,2,2145,2017
Dumoulin Tom,1,1,1,4,4,1435,2017
Kruijswijk Steven,4,-,2,-,-,1250,2017
Nizzolo Giacomo,110,-,1,1,1,1235,2017
Landa Mikel,3,-,1,3,3,1191,2017
Quintana Nairo,1,1,1,3,3,1153,2017
Visconti Giovanni,13,-,1,2,2,1121,2017
Cataldo Dario,12,-,1,1,1,991,2017
Zakarin Ilnur,5,-,1,2,2,951,2017
Dupont Hubert,11,-,3,-,-,933,2017
Bilbao Pello,5,-,1,2,2,917,2017
Formolo Davide,10,-,1,1,1,899,2017
Tiralongo Paolo,15,-,1,3,3,881,2017
Amador Andrey,4,-,1,1,1,873,2017
Modolo Sacha,84,-,1,2,2,862,2017
Kelderman Wilco,3,-,2,-,-,837,2017
Battaglin Enrico,34,-,1,3,3,835,2017
Greipel André,133,-,1,7,7,834,2017
Mollema Bauke,5,-,3,-,-,769,2017
Kangert Tanel,13,-,2,-,-,759,2017
Gaviria Fernando,109,-,1,5,5,742,2017
Siutsou Kanstantsin,9,-,1,1,1,727,2017
Ewan Caleb,-,-,1,5,5,719,2017
Jungels Bob,6,-,1,1,1,716,2017
Pinot Thibaut,4,-,1,1,1,689,2017
Konrad Patrick,7,-,2,-,-,670,2017
Ferrari Roberto,132,-,1,1,1,652,2017
Bennett Sam,112,-,1,3,3,648,2017
Kiryienka Vasil,25,-,1,3,3,590,2017
Bennati Daniele,70,-,1,3,3,583,2017
Kišerlovski Robert,10,-,2,-,-,568,2017
Monfort Maxime,11,-,7,-,-,545,2017
Richeze Maximiliano,92,-,1,2,2,543,2017
Polanc Jan,11,-,1,2,2,536,2017
Rolland Pierre,4,-,1,1,1,528,2017
Geniez Alexandre,9,-,4,-,-,490,2017
Ciccone Giulio,16,-,1,2,2,458,2017
Carthy Hugh,8,-,4,-,-,455,2017
Mezgec Luka,107,-,1,1,1,446,2017
Ventoso Francisco José,66,-,1,2,2,424,2017
Van Den Broeck Jurgen,7,-,7,-,-,417,2017
Pirazzi Stefano,18,-,1,1,1,404,2017
