,rider,scorito,year
6,Jungels Bob,834.0,2016
162,Trentin Matteo,514.0,2016
22,Valverde Alejandro,511.0,2016
21,Kruijswijk Steven,509.0,2016
26,Nizzolo Giacomo,483.0,2016
15,Nibali Vincenzo,480.0,2016
32,Chaves Esteban,448.0,2016
4,Kittel Marcel,435.0,2016
108,Brambilla Gianluca,408.0,2016
125,Modolo Sacha,339.0,2016
46,Greipel André,335.0,2016
2,Amador Andrey,326.0,2016
30,Ulissi Diego,324.0,2016
0,Dumoulin Tom,311.0,2016
59,Majka Rafał,302.0,2016
37,Zakarin Ilnur,284.0,2016
159,Nieve Mikel,279.0,2016
17,Wiśniowski Łukasz,260.0,2016
132,Verona Carlos,258.0,2016
104,Arndt Nikias,249.0,2016
38,Serry Pieter,248.0,2016
44,De La Cruz David,242.0,2016
167,Atapuma Darwin,232.0,2016
94,Sabatini Fabio,232.0,2016
187,Cunego Damiano,231.0,2016
12,Preidler Georg,219.0,2016
28,Fuglsang Jakob,215.0,2016
42,Urán Rigoberto,214.0,2016
29,Wellens Tim,206.0,2016
60,Porsev Alexander,202.0,2016
109,Henao Sebastián,192.0,2016
39,Visconti Giovanni,186.0,2016
65,Démare Arnaud,182.0,2016
23,Hofland Moreno,181.0,2016
1,Roglič Primož,169.0,2016
190,Ewan Caleb,168.0,2016
3,Ludvigsson Tobias,167.0,2016
45,Tjallingii Maarten,146.0,2016
36,De Bie Sean,145.0,2016
100,Pozzovivo Domenico,138.0,2016
112,Firsanov Sergey,138.0,2016
7,Cancellara Fabian,134.0,2016
87,Scarponi Michele,134.0,2016
63,Monfort Maxime,131.0,2016
76,Zabel Rick,128.0,2016
52,Viviani Elia,128.0,2016
68,Siutsou Kanstantsin,127.0,2016
5,Moser Moreno,126.0,2016
158,Sbaragli Kristian,123.0,2016
152,Foliforov Alexander,120.0,2016
145,Savitskiy Ivan,118.0,2016
31,Roche Nicolas,115.0,2016
89,Ligthart Pim,113.0,2016
11,Haga Chad,113.0,2016
115,Battaglin Enrico,111.0,2016
62,Taaramäe Rein,110.0,2016
111,Formolo Davide,108.0,2016
186,Belletti Manuel,108.0,2016
48,Roelandts Jürgen,105.0,2016
103,Colbrelli Sonny,104.0,2016
193,Grosu Eduard-michael,103.0,2016
169,De Backer Bert,101.0,2016
102,Denifl Stefan,100.0,2016
110,Dombrowski Joe,96.0,2016
88,Coledan Marco,92.0,2016
78,Timmer Albert,91.0,2016
178,Ji Cheng,89.0,2016
66,Landa Mikel,89.0,2016
147,Stamsnijder Tom,89.0,2016
75,López David,86.0,2016
96,Conti Valerio,86.0,2016
149,Vanendert Jelle,85.0,2016
50,Bak Lars Ytting,85.0,2016
142,Hansen Adam,85.0,2016
40,Hesjedal Ryder,84.0,2016
10,Kluge Roger,80.0,2016
172,Van Emden Jos,79.0,2016
58,Tsatevich Alexey,78.0,2016
8,Brändle Matthias,78.0,2016
13,Keizer Martijn,77.0,2016
194,Ruffoni Nicola,76.0,2016
20,Kangert Tanel,76.0,2016
163,Ciccone Giulio,75.0,2016
165,Busato Matteo,74.0,2016
127,Rovny Ivan,74.0,2016
154,Malacarne Davide,72.0,2016
122,Didier Laurent,72.0,2016
74,Bobridge Jack,72.0,2016
173,Alafaci Eugenio,72.0,2016
119,Montaguti Matteo,72.0,2016
27,Zoidl Riccardo,72.0,2016
93,Van Poppel Boy,72.0,2016
55,Knees Christian,67.0,2016
176,Dupont Hubert,66.0,2016
161,Simion Paolo,66.0,2016
33,Küng Stefan,57.0,2016
54,Oss Daniel,55.0,2016
43,Tankink Bram,53.0,2016
47,Castelijns Twan,53.0,2016
113,Zeits Andrey,52.0,2016
95,Venter Jaco,51.0,2016
73,Agnoli Valerio,50.0,2016
136,Kozhatayev Bakhtiyar,50.0,2016
92,Laengen Vegard Stake,50.0,2016
116,Capecchi Eros,50.0,2016
170,Bisolti Alessandro,49.0,2016
118,Boswell Ian,49.0,2016
25,Navardauskas Ramūnas,48.0,2016
135,Mohorič Matej,48.0,2016
123,Haussler Heinrich,48.0,2016
134,Berlato Giacomo,47.0,2016
