name,team,points,ranking,type,year
Quintana Nairo,Movistar Team,1550,1,top-gc-riders,2017
Nibali Vincenzo,Bahrain Merida Pro Cycling Team,803,7,top-gc-riders,2017
Pinot Thibaut,FDJ,722,8,top-gc-riders,2017
Thomas Geraint,Team Sky,547,12,top-gc-riders,2017
Costa Rui,UAE Team Emirates,499,15,top-gc-riders,2017
Mollema Bauke,Trek - Segafredo,498,16,top-gc-riders,2017
Kelderman Wilco,Team Sunweb,471,19,top-gc-riders,2017
Yates Adam,ORICA-Scott,465,20,top-gc-riders,2017
Reichenbach Sébastien,FDJ,457,21,top-gc-riders,2017
Jungels Bob,Quick-Step Floors,430,23,top-gc-riders,2017
Dumoulin Tom,Team Sunweb,425,25,top-gc-riders,2017
Kangert Tanel,Astana Pro Team,418,26,top-gc-riders,2017
Pozzovivo Domenico,AG2R La Mondiale,387,29,top-gc-riders,2017
Devenyns Dries,Quick-Step Floors,362,36,top-gc-riders,2017
Hermans Ben,BMC Racing Team,333,38,top-gc-riders,2017
Formolo Davide,Cannondale-Drapac Pro Cycling Team,327,40,top-gc-riders,2017
Rolland Pierre,Cannondale-Drapac Pro Cycling Team,307,49,top-gc-riders,2017
Landa Mikel,Team Sky,297,51,top-gc-riders,2017
Izagirre Gorka,Movistar Team,267,65,top-gc-riders,2017
Kruijswijk Steven,Team LottoNL-Jumbo,258,72,top-gc-riders,2017
Dennis Rohan,BMC Racing Team,239,80,top-gc-riders,2017
Sánchez Luis León,Astana Pro Team,217,91,top-gc-riders,2017
Carthy Hugh,Cannondale-Drapac Pro Cycling Team,216,94,top-gc-riders,2017
van Emden Jos,Team LottoNL-Jumbo,216,93,top-gc-riders,2017
Henao Sebastián,Team Sky,187,114,top-gc-riders,2017
Rosskopf Joey,BMC Racing Team,186,115,top-gc-riders,2017
Gonçalves José,Team Katusha Alpecin,183,120,top-gc-riders,2017
Amador Andrey,Movistar Team,180,125,top-gc-riders,2017
Bilbao Pello,Astana Pro Team,173,134,top-gc-riders,2017
Woods Michael,Cannondale-Drapac Pro Cycling Team,153,156,top-gc-riders,2017
Pirazzi Stefano,Bardiani - CSF,153,157,top-gc-riders,2017
Rosa Diego,Team Sky,152,161,top-gc-riders,2017
Hansen Adam,Lotto Soudal,145,166,top-gc-riders,2017
de la Parte Víctor,Movistar Team,145,164,top-gc-riders,2017
Nizzolo Giacomo,Trek - Segafredo,140,171,top-gc-riders,2017
Mamykin Matvey,Team Katusha Alpecin,136,177,top-gc-riders,2017
Konrad Patrick,BORA - hansgrohe,132,183,top-gc-riders,2017
Juul-Jensen Christopher,ORICA-Scott,129,191,top-gc-riders,2017
Ladagnous Matthieu,FDJ,124,203,top-gc-riders,2017
Anacona Winner,Movistar Team,123,205,top-gc-riders,2017
Mohorič Matej,UAE Team Emirates,120,211,top-gc-riders,2017
Geniez Alexandre,AG2R La Mondiale,119,212,top-gc-riders,2017
Bennett Sam,BORA - hansgrohe,118,215,top-gc-riders,2017
Villella Davide,Cannondale-Drapac Pro Cycling Team,115,223,top-gc-riders,2017
Cataldo Dario,Astana Pro Team,112,227,top-gc-riders,2017
Dombrowski Joe,Cannondale-Drapac Pro Cycling Team,109,233,top-gc-riders,2017
Bárta Jan,BORA - hansgrohe,108,234,top-gc-riders,2017
Hirt Jan,CCC Sprandi Polkowice ,105,238,top-gc-riders,2017
Mendes José,BORA - hansgrohe,100,248,top-gc-riders,2017
Dillier Silvan,BMC Racing Team,100,251,top-gc-riders,2017
Bernard Julien,Trek - Segafredo,100,246,top-gc-riders,2017
Zeits Andrey,Astana Pro Team,100,250,top-gc-riders,2017
Polanc Jan,UAE Team Emirates,99,256,top-gc-riders,2017
Serry Pieter,Quick-Step Floors,96,264,top-gc-riders,2017
Elissonde Kenny,Team Sky,90,282,top-gc-riders,2017
Boaro Manuele,Bahrain Merida Pro Cycling Team,90,275,top-gc-riders,2017
Kochetkov Pavel,Team Katusha Alpecin,89,283,top-gc-riders,2017
Verona Carlos,ORICA-Scott,86,291,top-gc-riders,2017
Großschartner Felix,CCC Sprandi Polkowice ,79,313,top-gc-riders,2017
Shalunov Evgeny,Gazprom-RusVelo,70,339,top-gc-riders,2017
Ludvigsson Tobias,FDJ,67,351,top-gc-riders,2017
Conti Valerio,UAE Team Emirates,65,358,top-gc-riders,2017
Berhane Natnael,Team Dimension Data,63,368,top-gc-riders,2017
Howes Alex,Cannondale-Drapac Pro Cycling Team,62,369,top-gc-riders,2017
Modolo Sacha,UAE Team Emirates,61,376,top-gc-riders,2017
Rojas José Joaquín,Movistar Team,56,401,top-gc-riders,2017
