,10-stage,10-gc,10-points,10-kom,11-stage,11-gc,11-points,11-kom,10-youth,11-youth,10-teams,11-teams,team,year
Dumoulin Tom,1,1,20,7,19,1,19,10,,,,,Team Sunweb,2018
Thomas Geraint,2,11,18,10,34,14,17,13,,,,,,2018
Jungels Bob,3,6,25,31,28,7,24,36,1,1,,,,2018
Sánchez Luis León,4,61,24,6,33,50,23,8,,,,,Astana Pro Team,2018
Kiryienka Vasil,5,119,58,,82,100,61,,,,,,Team Sky,2018
Nibali Vincenzo,6,5,26,18,22,5,25,23,,,,,,2018
Monfort Maxime,7,19,63,,9,17,58,,,,,,,2018
Van Emden Jos,8,106,72,,147,118,74,,,,,,Team LottoNL-Jumbo,2018
Amador Andrey,9,9,68,,11,6,70,,,,,,,2018
Mollema Bauke,10,3,42,12,24,3,42,15,,,,,,2018
Tratnik Jan,11,121,43,28,100,112,43,32,,,,,,2018
Zakarin Ilnur,12,8,44,5,17,10,44,7,,,,,,2018
Hepburn Michael,13,111,,,133,121,,,,,,,,2018
Preidler Georg,14,46,,,86,58,,,,,,,Groupama - FDJ,2018
Polanc Jan,15,14,37,1,30,18,36,1,3,4,,,UAE Team Emirates,2018
Bárta Jan,16,172,74,,98,155,76,,,,,,,2018
Yates Adam,17,16,34,37,23,16,34,42,4,3,,,,2018
Hermans Ben,18,20,,,6,19,63,,,,,,Israel Cycling Academy,2018
Pinot Thibaut,19,4,30,3,18,4,31,4,,,,,Groupama - FDJ,2018
Kruijswijk Steven,20,10,61,,29,12,65,,,,,,,2018
Costa Rui,21,18,55,,2,15,41,24,,,,,,2018
Kangert Tanel,22,12,62,32,4,8,49,35,,,,,Astana Pro Team,2018
Quintana Nairo,23,2,36,2,20,2,35,3,,,,,,2018
Cataldo Dario,24,15,54,19,7,11,53,17,,,,,,2018
Clement Stef,25,33,,,36,31,,,,,,,,2018
Großschartner Felix,26,82,,,99,86,,,16,18,,,BORA - hansgrohe,2018
