,1-stage,2-stage,3-stage,4-stage,5-stage,6-stage,7-stage,8-stage,9-stage,10-stage,11-stage,12-stage,13-stage,14-stage,15-stage,16-stage,17-stage,18-stage,19-stage,20-stage,21-stage,team,1-gc,1-points,1-kom,1-youth,1-teams,2-gc,2-points,2-kom,2-youth,2-teams,3-gc,3-points,3-kom,3-youth,3-teams,4-gc,4-points,4-kom,4-youth,4-teams,5-gc,5-points,5-kom,5-youth,5-teams,6-gc,6-points,6-kom,6-youth,6-teams,7-gc,7-points,7-kom,7-youth,7-teams,8-gc,8-points,8-kom,8-youth,8-teams,9-gc,9-points,9-kom,9-youth,9-teams,10-gc,10-points,10-kom,10-youth,10-teams,11-gc,11-points,11-kom,11-youth,11-teams,12-gc,12-points,12-kom,12-youth,12-teams,13-gc,13-points,13-kom,13-youth,13-teams,14-gc,14-points,14-kom,14-youth,14-teams,15-gc,15-points,15-kom,15-youth,15-teams,16-gc,16-points,16-kom,16-youth,16-teams,17-gc,17-points,17-kom,17-youth,17-teams,18-gc,18-points,18-kom,18-youth,18-teams,19-gc,19-points,19-kom,19-youth,19-teams,20-gc,20-points,20-kom,20-youth,20-teams,21-gc,21-points,21-kom,21-youth,21-teams,year
Roglič Primož,1,27,48,6,61,17,20,18,1,45,40,24,7,8,13,15,25,35,14,14,10,Team Jumbo-Visma,1,1,1,1,1,27,27,27,27,27,48,48,48,48,48,6,6,6,6,6,61,61,61,61,61,17,17,17,17,17,20,20,20,20,20,18,18,18,18,18,1,1,1,1,1,45,45,45,45,45,40,40,40,40,40,24,24,24,24,24,7,7,7,7,7,8,8,8,8,8,13,13,13,13,13,15,15,15,15,15,25,25,25,25,25,35,35,35,35,35,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,2019
Yates Simon,2,33,11,10,75,18,18,40,31,28,64,28,17,2,3,14,29,49,23,12,24,Mitchelton-Scott,2,2,2,2,2,33,33,33,33,33,11,11,11,11,11,10,10,10,10,10,75,75,75,75,75,18,18,18,18,18,18,18,18,18,18,40,40,40,40,40,31,31,31,31,31,28,28,28,28,28,64,64,64,64,64,28,28,28,28,28,17,17,17,17,17,2,2,2,2,2,3,3,3,3,3,14,14,14,14,14,29,29,29,29,29,49,49,49,49,49,23,23,23,23,23,12,12,12,12,12,24,24,24,24,24,2019
Nibali Vincenzo,3,32,14,15,49,49,17,24,4,31,32,25,8,3,6,4,26,33,16,5,9,Bahrain Merida,3,3,3,3,3,32,32,32,32,32,14,14,14,14,14,15,15,15,15,15,49,49,49,49,49,49,49,49,49,49,17,17,17,17,17,24,24,24,24,24,4,4,4,4,4,31,31,31,31,31,32,32,32,32,32,25,25,25,25,25,8,8,8,8,8,3,3,3,3,3,6,6,6,6,6,4,4,4,4,4,26,26,26,26,26,33,33,33,33,33,16,16,16,16,16,5,5,5,5,5,9,9,9,9,9,2019
López Miguel Ángel,4,65,12,8,73,26,16,39,42,43,59,18,11,6,7,11,21,32,13,18,43,Astana Pro Team,4,4,4,4,4,65,65,65,65,65,12,12,12,12,12,8,8,8,8,8,73,73,73,73,73,26,26,26,26,26,16,16,16,16,16,39,39,39,39,39,42,42,42,42,42,43,43,43,43,43,59,59,59,59,59,18,18,18,18,18,11,11,11,11,11,6,6,6,6,6,7,7,7,7,7,11,11,11,11,11,21,21,21,21,21,32,32,32,32,32,13,13,13,13,13,18,18,18,18,18,43,43,43,43,43,2019
Dumoulin Tom,5,20,34,98,DNF,,,,,,,,,,,,,,,,,Team Sunweb,5,5,5,5,5,20,20,20,20,20,34,34,34,34,34,98,98,98,98,98,DNF,DNF,DNF,DNF,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Majka Rafał,6,19,19,11,110,52,14,38,14,110,54,23,6,4,8,21,38,52,18,9,15,BORA - hansgrohe,6,6,6,6,6,19,19,19,19,19,19,19,19,19,19,11,11,11,11,11,110,110,110,110,110,52,52,52,52,52,14,14,14,14,14,38,38,38,38,38,14,14,14,14,14,110,110,110,110,110,54,54,54,54,54,23,23,23,23,23,6,6,6,6,6,4,4,4,4,4,8,8,8,8,8,21,21,21,21,21,38,38,38,38,38,52,52,52,52,52,18,18,18,18,18,9,9,9,9,9,15,15,15,15,15,2019
Geoghegan Hart Tao,7,35,112,19,76,43,44,31,25,77,68,53,DNF,,,,,,,,,Team INEOS,7,7,7,7,7,35,35,35,35,35,112,112,112,112,112,19,19,19,19,19,76,76,76,76,76,43,43,43,43,43,44,44,44,44,44,31,31,31,31,31,25,25,25,25,25,77,77,77,77,77,68,68,68,68,68,53,53,53,53,53,DNF,DNF,DNF,DNF,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
De Plus Laurens,8,162,160,167,167,162,DNF,,,,,,,,,,,,,,,Team Jumbo-Visma,8,8,8,8,8,162,162,162,162,162,160,160,160,160,160,167,167,167,167,167,167,167,167,167,167,162,162,162,162,162,DNF,DNF,DNF,DNF,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mollema Bauke,9,63,17,12,84,50,26,45,3,56,49,27,5,12,12,12,23,43,19,13,26,Trek - Segafredo,9,9,9,9,9,63,63,63,63,63,17,17,17,17,17,12,12,12,12,12,84,84,84,84,84,50,50,50,50,50,26,26,26,26,26,45,45,45,45,45,3,3,3,3,3,56,56,56,56,56,49,49,49,49,49,27,27,27,27,27,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,23,23,23,23,43,43,43,43,43,19,19,19,19,19,13,13,13,13,13,26,26,26,26,26,2019
Caruso Damiano,10,61,32,21,135,80,115,124,21,34,154,2,38,10,35,9,37,54,26,25,4,Bahrain Merida,10,10,10,10,10,61,61,61,61,61,32,32,32,32,32,21,21,21,21,21,135,135,135,135,135,80,80,80,80,80,115,115,115,115,115,124,124,124,124,124,21,21,21,21,21,34,34,34,34,34,154,154,154,154,154,2,2,2,2,2,38,38,38,38,38,10,10,10,10,10,35,35,35,35,35,9,9,9,9,9,37,37,37,37,37,54,54,54,54,54,26,26,26,26,26,25,25,25,25,25,4,4,4,4,4,2019
