name,value,year,day
Date:,05 May 2017,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Vert. meters:,2176,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Vert. meters:,2176,2017,1
Departure:,Alghero,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Vert. meters:,2176,2017,1
Departure:,Alghero,2017,1
Arrival:,Olbia,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Vert. meters:,2176,2017,1
Departure:,Alghero,2017,1
Arrival:,Olbia,2017,1
Race ranking:,23,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Vert. meters:,2176,2017,1
Departure:,Alghero,2017,1
Arrival:,Olbia,2017,1
Race ranking:,23,2017,1
Startlist quality score:,795,2017,1
Date:,05 May 2017,2017,1
Start time:,13:25 ,2017,1
Avg. speed winner:,39.42 km/h,2017,1
Race category:,ME - Men Elite,2017,1
Distance:,206 km,2017,1
Points scale:,GT.B.Stage,2017,1
Parcours type:,p2,2017,1
ProfileScore:,51,2017,1
Vert. meters:,2176,2017,1
Departure:,Alghero,2017,1
Arrival:,Olbia,2017,1
Race ranking:,23,2017,1
Startlist quality score:,795,2017,1
Won how:,0.7 km solo,2017,1
Date:,06 May 2017,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Vert. meters:,3518,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Vert. meters:,3518,2017,2
Departure:,Olbia,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Vert. meters:,3518,2017,2
Departure:,Olbia,2017,2
Arrival:,Tortoli,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Vert. meters:,3518,2017,2
Departure:,Olbia,2017,2
Arrival:,Tortoli,2017,2
Race ranking:,23,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Vert. meters:,3518,2017,2
Departure:,Olbia,2017,2
Arrival:,Tortoli,2017,2
Race ranking:,23,2017,2
Startlist quality score:,795,2017,2
Date:,06 May 2017,2017,2
Start time:,12:50 ,2017,2
Avg. speed winner:,36.3 km/h,2017,2
Race category:,ME - Men Elite,2017,2
Distance:,221 km,2017,2
Points scale:,GT.B.Stage,2017,2
Parcours type:,p2,2017,2
ProfileScore:,91,2017,2
Vert. meters:,3518,2017,2
Departure:,Olbia,2017,2
Arrival:,Tortoli,2017,2
Race ranking:,23,2017,2
Startlist quality score:,795,2017,2
Won how:,Sprint of large group,2017,2
Date:,07 May 2017,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Vert. meters:,1441,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Vert. meters:,1441,2017,3
Departure:,Tortolì,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Vert. meters:,1441,2017,3
Departure:,Tortolì,2017,3
Arrival:,Cagliari,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Vert. meters:,1441,2017,3
Departure:,Tortolì,2017,3
Arrival:,Cagliari,2017,3
Race ranking:,23,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Vert. meters:,1441,2017,3
Departure:,Tortolì,2017,3
Arrival:,Cagliari,2017,3
Race ranking:,23,2017,3
Startlist quality score:,795,2017,3
Date:,07 May 2017,2017,3
Start time:,14:45 ,2017,3
Avg. speed winner:,42.99 km/h,2017,3
Race category:,ME - Men Elite,2017,3
Distance:,148 km,2017,3
Points scale:,GT.B.Stage,2017,3
Parcours type:,p1,2017,3
ProfileScore:,41,2017,3
Vert. meters:,1441,2017,3
Departure:,Tortolì,2017,3
Arrival:,Cagliari,2017,3
Race ranking:,23,2017,3
Startlist quality score:,795,2017,3
Won how:,Sprint of small group,2017,3
Date:,09 May 2017,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Vert. meters:,4170,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Vert. meters:,4170,2017,4
Departure:,Cefalù,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Vert. meters:,4170,2017,4
Departure:,Cefalù,2017,4
Arrival:,Etna,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Vert. meters:,4170,2017,4
Departure:,Cefalù,2017,4
Arrival:,Etna,2017,4
Race ranking:,23,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Vert. meters:,4170,2017,4
Departure:,Cefalù,2017,4
Arrival:,Etna,2017,4
Race ranking:,23,2017,4
Startlist quality score:,795,2017,4
Date:,09 May 2017,2017,4
Start time:,13:05 ,2017,4
Avg. speed winner:,36.69 km/h,2017,4
Race category:,ME - Men Elite,2017,4
Distance:,181 km,2017,4
Points scale:,GT.B.Stage,2017,4
Parcours type:,p5,2017,4
ProfileScore:,298,2017,4
Vert. meters:,4170,2017,4
Departure:,Cefalù,2017,4
Arrival:,Etna,2017,4
Race ranking:,23,2017,4
Startlist quality score:,795,2017,4
Won how:,16.6 km solo,2017,4
Date:,10 May 2017,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Vert. meters:,1780,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Vert. meters:,1780,2017,5
Departure:,Pedara,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Vert. meters:,1780,2017,5
Departure:,Pedara,2017,5
Arrival:,Messina,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Vert. meters:,1780,2017,5
Departure:,Pedara,2017,5
Arrival:,Messina,2017,5
Race ranking:,23,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Vert. meters:,1780,2017,5
Departure:,Pedara,2017,5
Arrival:,Messina,2017,5
Race ranking:,23,2017,5
Startlist quality score:,795,2017,5
Date:,10 May 2017,2017,5
Start time:,14:20 ,2017,5
Avg. speed winner:,43.33 km/h,2017,5
Race category:,ME - Men Elite,2017,5
Distance:,159 km,2017,5
Points scale:,GT.B.Stage,2017,5
Parcours type:,p2,2017,5
ProfileScore:,43,2017,5
Vert. meters:,1780,2017,5
Departure:,Pedara,2017,5
Arrival:,Messina,2017,5
Race ranking:,23,2017,5
Startlist quality score:,795,2017,5
Won how:,Sprint of large group,2017,5
Date:,11 May 2017,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Avg. speed winner:,43.69 km/h,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Avg. speed winner:,43.69 km/h,2017,6
Race category:,ME - Men Elite,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Avg. speed winner:,43.69 km/h,2017,6
Race category:,ME - Men Elite,2017,6
Distance:,217 km,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Avg. speed winner:,43.69 km/h,2017,6
Race category:,ME - Men Elite,2017,6
Distance:,217 km,2017,6
Points scale:,GT.B.Stage,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Avg. speed winner:,43.69 km/h,2017,6
Race category:,ME - Men Elite,2017,6
Distance:,217 km,2017,6
Points scale:,GT.B.Stage,2017,6
Parcours type:,p2,2017,6
Date:,11 May 2017,2017,6
Start time:,12:45 ,2017,6
Avg. speed winner:,43.69 km/h,2017,6
Race category:,ME - Men Elite,2017,6
Distance:,217 km,2017,6
Points scale:,GT.B.Stage,2017,6
Parcours type:,p2,2017,6
ProfileScore:,72,2017,6
