,rider,team,year,age,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target
1,Amador Andrey,Movistar Team,2016,29,5145,Amador Andrey-2016,36.0,255.0,,98.0,2.857142857142857,137.0952380952381,2244.285714285714,326.0,160.0
2,Moreno Javier,Movistar Team,2016,31,5145,Moreno Javier-2016,13.0,108.0,,74.0,2.857142857142857,137.0952380952381,2244.285714285714,18.0,10.0
4,Rojas José Joaquín,Movistar Team,2016,30,5145,Rojas José Joaquín-2016,206.0,53.0,389.8,,2.857142857142857,137.0952380952381,2244.285714285714,36.0,44.0
5,Herrada José,Movistar Team,2016,30,5145,Herrada José-2016,100.0,42.0,,,2.857142857142857,137.0952380952381,2244.285714285714,18.0,46.0
6,Visconti Giovanni,Movistar Team,2016,33,5145,Visconti Giovanni-2016,175.0,,,,2.857142857142857,137.0952380952381,2244.285714285714,186.0,94.0
8,Sutherland Rory,Movistar Team,2016,34,5145,Sutherland Rory-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,18.0,80.0
9,Pozzovivo Domenico,AG2R La Mondiale,2016,33,1993,Pozzovivo Domenico-2016,142.0,689.0,50.2,12.0,2.857142857142857,137.0952380952381,2244.285714285714,138.0,340.0
11,Montaguti Matteo,AG2R La Mondiale,2016,32,1993,Montaguti Matteo-2016,207.0,,97.0,,2.857142857142857,137.0952380952381,2244.285714285714,72.0,42.0
17,Dupont Hubert,AG2R La Mondiale,2016,35,1993,Dupont Hubert-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,66.0,42.0
19,Boaro Manuele,Tinkoff,2016,29,2003,Boaro Manuele-2016,60.0,190.0,50.0,130.0,2.857142857142857,137.0952380952381,2244.285714285714,32.0,10.0
20,Rovny Ivan,Tinkoff,2016,28,2003,Rovny Ivan-2016,,25.0,,,2.857142857142857,137.0952380952381,2244.285714285714,74.0,0.0
22,Brutt Pavel,Tinkoff,2016,34,2003,Brutt Pavel-2016,58.0,,33.0,26.0,2.857142857142857,137.0952380952381,2244.285714285714,16.0,14.0
25,Hernández Blázquez Jesús,Tinkoff,2016,34,2003,Hernández Blázquez Jesús-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,0.0,0.0
28,Dombrowski Joe,Cannondale Pro Cycling Team,2016,24,3424,Dombrowski Joe-2016,10.0,286.0,,,2.857142857142857,137.0952380952381,2244.285714285714,96.0,24.0
29,Formolo Davide,Cannondale Pro Cycling Team,2016,23,3424,Formolo Davide-2016,70.0,183.0,,,2.857142857142857,137.0952380952381,2244.285714285714,108.0,251.0
36,Dumoulin Tom,Team Giant - Alpecin,2016,25,2063,Dumoulin Tom-2016,104.0,496.0,91.0,838.0,2.857142857142857,137.0952380952381,2244.285714285714,311.0,736.0
38,Haga Chad,Team Giant - Alpecin,2016,27,2063,Haga Chad-2016,15.0,42.0,,20.0,2.857142857142857,137.0952380952381,2244.285714285714,113.0,138.0
39,Ludvigsson Tobias,Team Giant - Alpecin,2016,25,2063,Ludvigsson Tobias-2016,27.0,40.0,,75.0,2.857142857142857,137.0952380952381,2244.285714285714,167.0,24.0
40,Preidler Georg,Team Giant - Alpecin,2016,25,2063,Preidler Georg-2016,25.0,,42.0,42.0,2.857142857142857,137.0952380952381,2244.285714285714,219.0,178.0
44,Stamsnijder Tom,Team Giant - Alpecin,2016,30,2063,Stamsnijder Tom-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,89.0,130.0
45,Nibali Vincenzo,Astana Pro Team,2016,31,3514,Nibali Vincenzo-2016,691.0,485.0,127.2,42.0,2.857142857142857,137.0952380952381,2244.285714285714,480.0,502.0
47,Kangert Tanel,Astana Pro Team,2016,29,3514,Kangert Tanel-2016,78.0,245.0,,90.0,2.857142857142857,137.0952380952381,2244.285714285714,76.0,86.0
48,Zeits Andrey,Astana Pro Team,2016,29,3514,Zeits Andrey-2016,14.0,163.0,,,2.857142857142857,137.0952380952381,2244.285714285714,52.0,0.0
49,Agnoli Valerio,Astana Pro Team,2016,31,3514,Agnoli Valerio-2016,32.0,,142.0,,2.857142857142857,137.0952380952381,2244.285714285714,50.0,10.0
53,Capecchi Eros,Astana Pro Team,2016,29,3514,Capecchi Eros-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,50.0,314.0
55,Landa Mikel,Team Sky,2016,26,3420,Landa Mikel-2016,34.0,417.0,53.4,,2.857142857142857,137.0952380952381,2244.285714285714,89.0,389.0
56,Henao Sebastián,Team Sky,2016,22,3420,Henao Sebastián-2016,45.0,138.0,70.0,25.0,2.857142857142857,137.0952380952381,2244.285714285714,192.0,81.0
61,Deignan Philip,Team Sky,2016,32,3420,Deignan Philip-2016,17.0,,,,2.857142857142857,137.0952380952381,2244.285714285714,37.0,59.0
64,Ewan Caleb,Orica GreenEDGE,2016,21,2980,Ewan Caleb-2016,85.0,105.0,819.0,50.0,2.857142857142857,137.0952380952381,2244.285714285714,168.0,249.0
66,Mezgec Luka,Orica GreenEDGE,2016,27,2980,Mezgec Luka-2016,15.0,55.0,246.4,,2.857142857142857,137.0952380952381,2244.285714285714,30.0,68.0
68,Hepburn Michael,Orica GreenEDGE,2016,24,2980,Hepburn Michael-2016,,35.0,,248.0,2.857142857142857,137.0952380952381,2244.285714285714,24.0,56.0
70,Plaza Rubén,Orica GreenEDGE,2016,36,2980,Plaza Rubén-2016,,,,55.0,2.857142857142857,137.0952380952381,2244.285714285714,18.0,44.0
71,Tuft Svein,Orica GreenEDGE,2016,38,2980,Tuft Svein-2016,,,,20.0,2.857142857142857,137.0952380952381,2244.285714285714,18.0,30.0
72,Kruijswijk Steven,Team LottoNL-Jumbo,2016,28,2134,Kruijswijk Steven-2016,25.0,416.0,43.0,111.0,2.857142857142857,137.0952380952381,2244.285714285714,509.0,158.0
75,Battaglin Enrico,Team LottoNL-Jumbo,2016,26,2134,Battaglin Enrico-2016,70.0,45.0,168.0,,2.857142857142857,137.0952380952381,2244.285714285714,111.0,158.0
76,Hofland Moreno,Team LottoNL-Jumbo,2016,24,2134,Hofland Moreno-2016,38.0,,286.2,,2.857142857142857,137.0952380952381,2244.285714285714,181.0,36.0
77,Castelijns Twan,Team LottoNL-Jumbo,2016,27,2134,Castelijns Twan-2016,30.0,,57.0,40.0,2.857142857142857,137.0952380952381,2244.285714285714,53.0,10.0
78,Keizer Martijn,Team LottoNL-Jumbo,2016,28,2134,Keizer Martijn-2016,,,,171.0,2.857142857142857,137.0952380952381,2244.285714285714,77.0,10.0
80,Tankink Bram,Team LottoNL-Jumbo,2016,37,2134,Tankink Bram-2016,42.0,,,,2.857142857142857,137.0952380952381,2244.285714285714,53.0,10.0
82,Hansen Adam,Lotto Soudal,2016,34,4426,Hansen Adam-2016,20.0,142.0,,,2.857142857142857,137.0952380952381,2244.285714285714,85.0,36.0
83,Greipel André,Lotto Soudal,2016,33,4426,Greipel André-2016,360.0,,1464.6,64.0,2.857142857142857,137.0952380952381,2244.285714285714,335.0,357.0
86,De Bie Sean,Lotto Soudal,2016,24,4426,De Bie Sean-2016,234.0,,244.0,110.0,2.857142857142857,137.0952380952381,2244.285714285714,145.0,36.0
87,Bak Lars Ytting,Lotto Soudal,2016,36,4426,Bak Lars Ytting-2016,35.0,,53.2,,2.857142857142857,137.0952380952381,2244.285714285714,85.0,36.0
88,Monfort Maxime,Lotto Soudal,2016,33,4426,Monfort Maxime-2016,,,,80.0,2.857142857142857,137.0952380952381,2244.285714285714,131.0,134.0
91,Kochetkov Pavel,Team Katusha ,2016,30,2635,Kochetkov Pavel-2016,45.0,78.0,59.0,,2.857142857142857,137.0952380952381,2244.285714285714,16.0,0.0
92,Tsatevich Alexey,Team Katusha ,2016,26,2635,Tsatevich Alexey-2016,192.0,,215.0,19.0,2.857142857142857,137.0952380952381,2244.285714285714,78.0,68.0
94,Kuznetsov Viacheslav,Team Katusha ,2016,26,2635,Kuznetsov Viacheslav-2016,102.0,,87.0,20.0,2.857142857142857,137.0952380952381,2244.285714285714,28.0,92.0
95,Zakarin Ilnur,Team Katusha ,2016,26,2635,Zakarin Ilnur-2016,26.0,,61.0,132.0,2.857142857142857,137.0952380952381,2244.285714285714,284.0,370.0
98,Belkov Maxim,Team Katusha ,2016,31,2635,Belkov Maxim-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,10.0,0.0
99,Jungels Bob,Etixx - Quick Step,2016,23,2200,Jungels Bob-2016,37.0,314.0,,334.0,2.857142857142857,137.0952380952381,2244.285714285714,834.0,916.0
101,Serry Pieter,Etixx - Quick Step,2016,27,2200,Serry Pieter-2016,42.0,98.0,44.5,13.0,2.857142857142857,137.0952380952381,2244.285714285714,248.0,314.0
103,Verona Carlos,Etixx - Quick Step,2016,23,2200,Verona Carlos-2016,44.0,41.0,,,2.857142857142857,137.0952380952381,2244.285714285714,258.0,28.0
108,Geniez Alexandre,FDJ,2016,28,1707,Geniez Alexandre-2016,123.0,290.0,93.6,50.0,2.857142857142857,137.0952380952381,2244.285714285714,2.0,0.0
114,Vaugrenard Benoît,FDJ,2016,34,1707,Vaugrenard Benoît-2016,25.0,,,,2.857142857142857,137.0952380952381,2244.285714285714,0.0,10.0
118,Dillier Silvan,BMC Racing Team,2016,25,2275,Dillier Silvan-2016,78.0,150.0,39.0,61.0,2.857142857142857,137.0952380952381,2244.285714285714,26.0,74.0
120,Rosskopf Joey,BMC Racing Team,2016,26,2275,Rosskopf Joey-2016,,52.0,,60.0,2.857142857142857,137.0952380952381,2244.285714285714,1.0,52.0
124,Quinziato Manuel,BMC Racing Team,2016,36,2275,Quinziato Manuel-2016,51.0,,60.0,52.0,2.857142857142857,137.0952380952381,2244.285714285714,0.0,60.0
125,Senni Manuel,BMC Racing Team,2016,24,2275,Senni Manuel-2016,10.0,,,12.0,2.857142857142857,137.0952380952381,2244.285714285714,0.0,20.0
127,Modolo Sacha,Lampre - Merida,2016,28,2333,Modolo Sacha-2016,66.0,176.0,860.0,,2.857142857142857,137.0952380952381,2244.285714285714,339.0,160.0
128,Conti Valerio,Lampre - Merida,2016,23,2333,Conti Valerio-2016,24.0,71.0,39.8,,2.857142857142857,137.0952380952381,2244.285714285714,86.0,46.0
129,Petilli Simone,Lampre - Merida,2016,23,2333,Petilli Simone-2016,112.0,45.0,116.0,20.0,2.857142857142857,137.0952380952381,2244.285714285714,22.0,102.0
